category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_10_15  ;  ordinary ; < 0.01 ;  0.64 ;  0.36  
 top_5  ;  ordinary ; < 0.01 ;  0.94 ;  0.06  
 top_5_10  ;  ordinary ; < 0.01 ;  0.73 ;  0.27  
 top_5  ;  top_10_15 ; < 0.01 ;  0.9 ;  0.1  
 top_5_10  ;  top_10_15 ; < 0.01 ;  0.61 ;  0.39  
 top_5_10  ;  top_5 ; < 0.01 ;  0.15 ;  0.85  

