"id_user_source","reciprocity_count","class","class2"
"50,922",31,top_5,outstanding
"50,944",5,ordinary,ordinary
"50,953",5,ordinary,ordinary
"50,991",4,ordinary,ordinary
"51,025",10,ordinary,ordinary
"51,048",5,ordinary,ordinary
"51,066",5,ordinary,ordinary
"51,075",1,top_5_10,outstanding
"51,076",5,ordinary,ordinary
"51,089",5,ordinary,ordinary
"51,122",5,ordinary,ordinary
"51,132",4,ordinary,ordinary
"51,150",14,ordinary,ordinary
"51,173",10,ordinary,ordinary
"51,204",5,top_5_10,outstanding
"51,219",5,ordinary,ordinary
"51,220",6,top_5_10,outstanding
"51,221",15,ordinary,ordinary
"51,225",6,ordinary,ordinary
"51,236",5,ordinary,ordinary
"51,249",10,ordinary,ordinary
"51,252",5,ordinary,ordinary
"51,253",5,ordinary,ordinary
"51,255",5,ordinary,ordinary
"51,259",5,ordinary,ordinary
"51,260",4,ordinary,ordinary
"51,304",5,ordinary,ordinary
"51,328",5,ordinary,ordinary
"51,357",9,ordinary,ordinary
"51,363",4,ordinary,ordinary
"51,378",5,ordinary,ordinary
"51,388",5,ordinary,ordinary
"51,390",5,ordinary,ordinary
"51,402",4,ordinary,ordinary
"51,403",5,ordinary,ordinary
"51,410",4,ordinary,ordinary
"51,420",9,ordinary,ordinary
"51,426",4,ordinary,ordinary
"51,432",2,ordinary,ordinary
"51,453",4,ordinary,ordinary
"51,478",6,ordinary,ordinary
"51,484",4,ordinary,ordinary
"51,514",4,ordinary,ordinary
"51,538",4,ordinary,ordinary
"51,548",4,ordinary,ordinary
"51,568",4,ordinary,ordinary
"51,576",8,ordinary,ordinary
"51,583",71,top_5,outstanding
"51,608",4,ordinary,ordinary
"51,614",4,ordinary,ordinary
