"id_user_source","reciprocity_count","class","class2"
"43,960",12,ordinary,ordinary
"43,962",13,ordinary,ordinary
"43,980",13,ordinary,ordinary
"43,990",1,ordinary,ordinary
"43,998",28,top_5_10,outstanding
"44,001",19,top_5_10,outstanding
"44,007",13,ordinary,ordinary
"44,016",13,ordinary,ordinary
"44,030",23,ordinary,ordinary
"44,034",25,ordinary,ordinary
"44,035",123,top_5,outstanding
"44,038",13,ordinary,ordinary
"44,044",13,ordinary,ordinary
"44,060",13,ordinary,ordinary
"44,066",13,ordinary,ordinary
"44,067",13,ordinary,ordinary
"44,073",13,ordinary,ordinary
"44,082",6,top_10_15,outstanding
"44,084",35,ordinary,ordinary
"44,089",48,top_5,outstanding
"44,091",13,ordinary,ordinary
"44,108",13,ordinary,ordinary
"44,137",9,ordinary,ordinary
"44,150",13,ordinary,ordinary
"44,154",12,ordinary,ordinary
"44,155",12,ordinary,ordinary
"44,158",13,ordinary,ordinary
"44,182",12,top_5_10,outstanding
"44,206",6,ordinary,ordinary
"44,217",3,ordinary,ordinary
"44,220",12,ordinary,ordinary
"44,235",18,ordinary,ordinary
"44,236",7,ordinary,ordinary
"44,237",12,ordinary,ordinary
"44,238",7,ordinary,ordinary
"44,255",12,ordinary,ordinary
"44,259",4,top_5,outstanding
"44,263",4,top_5_10,outstanding
"44,264",158,top_5,outstanding
"44,271",12,ordinary,ordinary
"44,272",38,top_5_10,outstanding
"44,290",12,ordinary,ordinary
"44,313",12,ordinary,ordinary
"44,315",12,ordinary,ordinary
"44,316",12,ordinary,ordinary
"44,327",12,ordinary,ordinary
"44,328",16,ordinary,ordinary
"44,335",12,ordinary,ordinary
"44,346",12,ordinary,ordinary
"44,353",12,ordinary,ordinary
"44,354",24,ordinary,ordinary
"44,361",12,ordinary,ordinary
"44,373",12,top_10_15,outstanding
"44,374",3,ordinary,ordinary
"44,377",12,ordinary,ordinary
"44,382",22,ordinary,ordinary
"44,384",9,ordinary,ordinary
"44,403",45,top_5,outstanding
"44,425",12,ordinary,ordinary
"44,430",20,top_5_10,outstanding
"44,442",36,ordinary,ordinary
"44,447",61,top_5,outstanding
"44,451",7,top_5_10,outstanding
"44,455",136,top_5_10,outstanding
"44,457",12,ordinary,ordinary
"44,459",12,ordinary,ordinary
"44,460",33,ordinary,ordinary
"44,471",8,top_10_15,outstanding
"44,487",15,top_5,outstanding
"44,500",12,ordinary,ordinary
"44,507",7,top_5_10,outstanding
"44,510",12,ordinary,ordinary
"44,513",152,top_5,outstanding
"44,519",12,ordinary,ordinary
"44,527",24,ordinary,ordinary
"44,529",16,ordinary,ordinary
"44,539",11,ordinary,ordinary
"44,548",8,ordinary,ordinary
"44,551",12,ordinary,ordinary
"44,564",26,top_5_10,outstanding
"44,577",8,ordinary,ordinary
"44,582",33,ordinary,ordinary
"44,584",11,top_10_15,outstanding
"44,598",12,ordinary,ordinary
"44,600",8,ordinary,ordinary
"44,626",12,ordinary,ordinary
"44,630",12,ordinary,ordinary
"44,631",36,ordinary,ordinary
"44,639",12,ordinary,ordinary
"44,645",12,ordinary,ordinary
"44,648",12,ordinary,ordinary
"44,650",381,top_5,outstanding
"44,653",16,ordinary,ordinary
"44,655",12,ordinary,ordinary
"44,664",37,top_5,outstanding
"44,668",12,ordinary,ordinary
"44,673",3,ordinary,ordinary
"44,685",22,top_5_10,outstanding
"44,686",22,top_10_15,outstanding
"44,690",142,top_5_10,outstanding
"44,694",22,ordinary,ordinary
"44,697",11,ordinary,ordinary
"44,713",44,top_5,outstanding
"44,716",11,ordinary,ordinary
"44,725",11,ordinary,ordinary
"44,728",89,top_5,outstanding
"44,747",45,ordinary,ordinary
"44,751",11,ordinary,ordinary
"44,752",11,ordinary,ordinary
"44,754",11,ordinary,ordinary
"44,757",20,top_10_15,outstanding
"44,759",7,ordinary,ordinary
"44,764",11,ordinary,ordinary
"44,765",9,top_5_10,outstanding
"44,771",22,ordinary,ordinary
"44,774",120,top_5,outstanding
"44,800",22,ordinary,ordinary
"44,802",11,ordinary,ordinary
"44,807",11,ordinary,ordinary
"44,810",10,ordinary,ordinary
"44,813",11,ordinary,ordinary
"44,815",11,ordinary,ordinary
"44,822",11,ordinary,ordinary
"44,823",11,ordinary,ordinary
"44,841",39,top_5,outstanding
"44,843",11,top_5_10,outstanding
"44,851",2,ordinary,ordinary
"44,868",11,ordinary,ordinary
"44,870",11,ordinary,ordinary
"44,881",11,ordinary,ordinary
"44,889",11,ordinary,ordinary
"44,900",11,ordinary,ordinary
"44,901",47,ordinary,ordinary
"44,904",6,ordinary,ordinary
"44,926",8,ordinary,ordinary
"44,927",9,top_10_15,outstanding
"44,930",107,top_5,outstanding
"44,950",86,top_5,outstanding
"44,976",11,ordinary,ordinary
"44,987",9,top_10_15,outstanding
"44,995",11,ordinary,ordinary
"44,999",11,ordinary,ordinary
"45,007",10,ordinary,ordinary
"45,008",11,ordinary,ordinary
"45,010",5,ordinary,ordinary
"45,013",16,top_5,outstanding
"45,020",11,ordinary,ordinary
"45,028",3,ordinary,ordinary
"45,039",15,ordinary,ordinary
"45,042",11,ordinary,ordinary
"45,048",1,ordinary,ordinary
"45,058",44,top_5,outstanding
"45,059",11,ordinary,ordinary
"45,065",22,ordinary,ordinary
"45,073",32,top_5_10,outstanding
