category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_10_15  ;  ordinary ; < 0.01 ;  0.61 ;  0.39  
 top_5  ;  ordinary ; < 0.01 ;  0.91 ;  0.09  
 top_5_10  ;  ordinary ; < 0.01 ;  0.69 ;  0.31  
 top_5  ;  top_10_15 ; < 0.01 ;  0.87 ;  0.13  
 top_5_10  ;  top_10_15 ; < 0.01 ;  0.58 ;  0.42  
 top_5_10  ;  top_5 ; < 0.01 ;  0.16 ;  0.84  

