category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_10_15  ;  ordinary ; < 0.01 ;  0.69 ;  0.31  
 top_5  ;  ordinary ; < 0.01 ;  0.85 ;  0.15  
 top_5_10  ;  ordinary ; < 0.01 ;  0.79 ;  0.21  
 top_5  ;  top_10_15 ; < 0.01 ;  0.66 ;  0.34  
 top_5_10  ;  top_10_15 ; < 0.01 ;  0.61 ;  0.39  
 top_5_10  ;  top_5 ;  0.0249 ;  0.45 ;  0.55  

