category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_10_15  ;  ordinary ; < 0.01 ;  0.71 ;  0.29  
 top_5  ;  ordinary ; < 0.01 ;  0.97 ;  0.03  
 top_5_10  ;  ordinary ; < 0.01 ;  0.81 ;  0.19  
 top_5  ;  top_10_15 ; < 0.01 ;  0.91 ;  0.09  
 top_5_10  ;  top_10_15 ; < 0.01 ;  0.64 ;  0.36  
 top_5_10  ;  top_5 ; < 0.01 ;  0.16 ;  0.84  

