category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 she_he  ;  i ; < 0.01 ;  0.42 ;  0.58  
 they  ;  i ; invalid ;  0.5 ;  0.5  
 we  ;  i ; < 0.01 ;  0.46 ;  0.54  
 you  ;  i ; invalid ;  0.49 ;  0.51  
 they  ;  she_he ; < 0.01 ;  0.58 ;  0.42  
 we  ;  she_he ;  0.0355 ;  0.54 ;  0.46  
 you  ;  she_he ; < 0.01 ;  0.57 ;  0.43  
 we  ;  they ;  0.0133 ;  0.46 ;  0.54  
 you  ;  they ; invalid ;  0.49 ;  0.51  
 you  ;  we ; invalid ;  0.53 ;  0.47  

