category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 she_he  ;  i ; < 0.01 ;  0.35 ;  0.65  
 they  ;  i ; < 0.01 ;  0.44 ;  0.56  
 we  ;  i ; < 0.01 ;  0.44 ;  0.56  
 you  ;  i ;  0.0138 ;  0.47 ;  0.53  
 they  ;  she_he ; < 0.01 ;  0.59 ;  0.41  
 we  ;  she_he ; < 0.01 ;  0.59 ;  0.41  
 you  ;  she_he ; < 0.01 ;  0.62 ;  0.38  
 we  ;  they ; invalid ;  0.5 ;  0.5  
 you  ;  they ; invalid ;  0.53 ;  0.47  
 you  ;  we ; invalid ;  0.53 ;  0.47  

