"id_user","class","class2","modularity_class","citations","avg_part"
"31,654",ordinary,ordinary,44,0,1
"31,656",top_10_15,outstanding,56,0,3
"31,659",ordinary,ordinary,44,0,1
"31,660",ordinary,ordinary,44,0,1
"31,661",ordinary,ordinary,44,0,1
"31,662",ordinary,ordinary,44,0,1
"31,663",ordinary,ordinary,44,0,2.5
"31,665",ordinary,ordinary,44,0,1.3333333333
"31,666",ordinary,ordinary,44,0,1
"31,667",ordinary,ordinary,30,0,1
"31,670",ordinary,ordinary,44,0,1.5
"31,671",ordinary,ordinary,44,0,1
"31,673",ordinary,ordinary,31,0,1
"31,674",ordinary,ordinary,47,0,2
"31,675",ordinary,ordinary,44,0,1
"31,676",top_5_10,outstanding,46,0,1.1764705882
"31,677",ordinary,ordinary,44,0,3
"31,678",ordinary,ordinary,44,0,3
"31,679",top_10_15,outstanding,44,0,1
"31,682",top_5_10,outstanding,44,0,1.2
"31,683",ordinary,ordinary,44,0,4
"31,684",ordinary,ordinary,56,0,1
"31,685",top_5_10,outstanding,44,0,1.75
"31,686",top_10_15,outstanding,47,0,3
"31,689",ordinary,ordinary,44,0,2
"31,692",top_10_15,outstanding,44,0,1
"31,693",top_10_15,outstanding,44,2,2
"31,694",ordinary,ordinary,56,0,1
"31,700",ordinary,ordinary,44,1,3
"31,701",top_5_10,outstanding,56,0,1.3333333333
"31,702",ordinary,ordinary,44,0,1
"31,703",ordinary,ordinary,44,0,5
"31,704",top_5_10,outstanding,44,0,1.4
"31,705",ordinary,ordinary,9,0,1
"31,706",ordinary,ordinary,46,0,1
"31,707",ordinary,ordinary,46,0,1
"31,710",ordinary,ordinary,16,0,1
"31,712",top_10_15,outstanding,44,0,1.25
"31,713",ordinary,ordinary,44,0,3
"31,714",ordinary,ordinary,56,0,1
"31,717",ordinary,ordinary,44,1,2.75
"31,719",ordinary,ordinary,44,1,2
"31,721",ordinary,ordinary,44,0,2
"31,727",ordinary,ordinary,44,0,1.8333333333
"31,728",ordinary,ordinary,46,0,1
"31,730",ordinary,ordinary,44,0,1
"31,731",ordinary,ordinary,44,0,1.5
"31,732",ordinary,ordinary,44,0,1
"31,733",ordinary,ordinary,46,0,1
"31,735",top_5_10,outstanding,44,0,1
"31,739",ordinary,ordinary,46,0,1
"31,740",ordinary,ordinary,46,0,1
"31,741",ordinary,ordinary,27,0,1
"31,742",ordinary,ordinary,44,0,1
"31,743",ordinary,ordinary,44,0,1
"31,744",ordinary,ordinary,44,0,1.6666666667
"31,746",top_5,outstanding,56,0,4.3157894737
"31,747",ordinary,ordinary,44,0,1
"31,750",ordinary,ordinary,44,0,1
"31,753",ordinary,ordinary,44,0,1
"31,754",ordinary,ordinary,46,0,4
"31,758",ordinary,ordinary,44,0,1
"31,759",top_10_15,outstanding,56,0,3.2
"31,760",ordinary,ordinary,44,0,1
"31,762",ordinary,ordinary,44,0,1
"31,763",ordinary,ordinary,46,0,1
"31,764",ordinary,ordinary,46,0,1
