"id_user","class","class2","modularity_class","citations","avg_part"
"23,001",ordinary,ordinary,35,0,1
"23,009",ordinary,ordinary,18,0,3
"23,011",ordinary,ordinary,22,0,1
"23,018",ordinary,ordinary,0,0,3
"23,019",ordinary,ordinary,18,0,1
"23,023",top_5,outstanding,18,0,1.375
"23,027",ordinary,ordinary,22,0,1
"23,032",ordinary,ordinary,0,0,1
"23,033",top_10_15,outstanding,0,1,1.6666666667
"23,035",ordinary,ordinary,18,0,1.3333333333
"23,039",ordinary,ordinary,22,0,1
"23,041",ordinary,ordinary,0,2,1.5
"23,044",top_5_10,outstanding,0,0,1.2
"23,045",top_5,outstanding,17,0,1.4444444444
"23,047",ordinary,ordinary,18,0,2
"23,057",ordinary,ordinary,26,0,1
"23,059",ordinary,ordinary,0,0,2.3333333333
"23,063",ordinary,ordinary,18,0,1
"23,064",ordinary,ordinary,27,0,1.5
"23,068",ordinary,ordinary,0,0,1
"23,075",ordinary,ordinary,35,0,2
"23,076",ordinary,ordinary,0,0,1
"23,079",ordinary,ordinary,18,1,5
"23,082",top_5_10,outstanding,17,0,2
"23,088",ordinary,ordinary,18,0,1
"23,089",ordinary,ordinary,0,0,5
"23,092",ordinary,ordinary,27,0,3
"23,093",ordinary,ordinary,18,0,1
"23,098",ordinary,ordinary,0,0,1.25
"23,099",ordinary,ordinary,0,0,1
"23,100",ordinary,ordinary,22,0,2
"23,101",ordinary,ordinary,25,0,1
"23,105",ordinary,ordinary,0,0,1
"23,106",top_5,outstanding,0,0,1.9756097561
"23,110",ordinary,ordinary,18,1,1.5
"23,111",ordinary,ordinary,0,0,1
"23,112",ordinary,ordinary,18,0,1
"23,114",ordinary,ordinary,0,0,1
"23,116",ordinary,ordinary,0,0,2
"23,119",ordinary,ordinary,0,0,2
"23,121",ordinary,ordinary,0,0,2
"23,122",ordinary,ordinary,0,0,1
"23,124",ordinary,ordinary,0,0,1
"23,126",ordinary,ordinary,26,0,2
"23,127",ordinary,ordinary,0,0,2.6666666667
"23,129",ordinary,ordinary,0,0,4
"23,133",ordinary,ordinary,22,2,2.6666666667
"23,135",ordinary,ordinary,0,0,1
"23,137",ordinary,ordinary,22,0,1
"23,138",ordinary,ordinary,0,0,4
"23,140",ordinary,ordinary,0,0,2
"23,145",ordinary,ordinary,22,2,2.125
"23,148",ordinary,ordinary,26,0,1
"23,150",ordinary,ordinary,18,0,1.3333333333
"23,153",ordinary,ordinary,0,0,2
"23,155",ordinary,ordinary,18,1,2
"23,156",ordinary,ordinary,0,0,2
"23,157",ordinary,ordinary,22,0,1
"23,163",ordinary,ordinary,18,0,1
"23,168",ordinary,ordinary,0,0,1.5
"23,173",ordinary,ordinary,27,1,6
"23,174",ordinary,ordinary,0,0,1
"23,177",ordinary,ordinary,0,0,1.5
"23,178",ordinary,ordinary,0,0,1
"23,183",ordinary,ordinary,27,0,1
"23,184",ordinary,ordinary,0,0,1
"23,185",ordinary,ordinary,0,2,3
"23,187",ordinary,ordinary,26,0,1
"23,191",ordinary,ordinary,0,4,2.5
"23,192",ordinary,ordinary,22,0,1
"23,201",ordinary,ordinary,17,0,2
"23,208",ordinary,ordinary,25,0,1
"23,210",ordinary,ordinary,0,0,2.6666666667
"23,214",ordinary,ordinary,27,0,4
"23,216",ordinary,ordinary,17,0,1
"23,218",ordinary,ordinary,0,0,1
"23,221",ordinary,ordinary,0,0,1
"23,224",top_10_15,outstanding,0,0,1.4
"23,228",ordinary,ordinary,0,0,1
"23,234",ordinary,ordinary,18,0,2
"23,235",ordinary,ordinary,0,0,1
"23,237",ordinary,ordinary,18,0,1
"23,239",ordinary,ordinary,0,0,2
"23,241",top_5_10,outstanding,0,3,1.2727272727
"23,243",ordinary,ordinary,0,0,1
"23,245",ordinary,ordinary,22,0,1
"23,246",ordinary,ordinary,0,0,2
"23,247",ordinary,ordinary,18,0,1
"23,254",ordinary,ordinary,0,0,4
"23,255",ordinary,ordinary,0,0,1
"23,257",ordinary,ordinary,0,0,3
"23,258",ordinary,ordinary,27,0,1
"23,261",top_5,outstanding,0,7,1.3928571429
"23,262",ordinary,ordinary,0,0,1
"23,264",ordinary,ordinary,0,0,1
"23,265",ordinary,ordinary,25,0,2
"23,267",top_10_15,outstanding,0,0,2.0769230769
"23,271",ordinary,ordinary,26,1,3
"23,278",ordinary,ordinary,18,0,1
"23,280",ordinary,ordinary,0,0,1
"23,284",ordinary,ordinary,0,0,2
"23,290",ordinary,ordinary,27,0,1
"23,297",ordinary,ordinary,17,0,1
"23,302",ordinary,ordinary,0,0,1.5
"23,304",ordinary,ordinary,22,0,2
"23,307",ordinary,ordinary,22,0,1
"23,316",ordinary,ordinary,0,0,1
"23,319",ordinary,ordinary,0,0,1
"23,320",ordinary,ordinary,16,0,2
"23,321",ordinary,ordinary,18,0,1.5
"23,344",top_5_10,outstanding,0,1,2
"23,348",ordinary,ordinary,18,0,1
"23,352",ordinary,ordinary,0,0,1.5
"23,359",ordinary,ordinary,0,0,2
"23,360",ordinary,ordinary,0,0,1
"23,365",ordinary,ordinary,0,0,1
"23,373",ordinary,ordinary,0,0,3
"23,376",ordinary,ordinary,0,0,1
"23,386",ordinary,ordinary,18,0,1
"23,389",ordinary,ordinary,17,0,2
"23,394",top_5_10,outstanding,0,0,1
"23,396",ordinary,ordinary,0,0,1
"23,400",ordinary,ordinary,18,0,1
"23,401",ordinary,ordinary,0,0,1.6666666667
"23,409",ordinary,ordinary,26,1,1.5
"23,410",ordinary,ordinary,0,0,5
"23,422",ordinary,ordinary,0,0,1.3333333333
"23,423",ordinary,ordinary,0,0,2.5714285714
"23,424",ordinary,ordinary,0,0,2
"23,425",ordinary,ordinary,0,0,1.5
"23,436",top_10_15,outstanding,0,0,1
"23,437",ordinary,ordinary,0,0,1
"23,442",ordinary,ordinary,0,0,1
"23,446",ordinary,ordinary,0,0,2
"23,459",ordinary,ordinary,26,0,1
"23,473",ordinary,ordinary,0,0,2
"23,476",ordinary,ordinary,0,4,1.4285714286
"23,477",ordinary,ordinary,0,0,1
"23,486",ordinary,ordinary,17,0,1
"23,489",ordinary,ordinary,26,0,1
"23,492",ordinary,ordinary,0,0,1
"23,501",top_5,outstanding,0,0,2.1818181818
"23,504",ordinary,ordinary,27,0,2
"23,510",ordinary,ordinary,0,0,1
"23,512",ordinary,ordinary,0,0,1
"23,513",ordinary,ordinary,0,0,1
"23,514",ordinary,ordinary,0,0,1
"23,515",ordinary,ordinary,26,0,1
"23,517",ordinary,ordinary,35,0,1.8
"23,522",ordinary,ordinary,18,0,2
"23,524",ordinary,ordinary,27,0,1
"23,525",ordinary,ordinary,18,1,4
"23,527",ordinary,ordinary,0,1,1
"23,531",ordinary,ordinary,27,0,5
"23,539",ordinary,ordinary,25,0,1
"23,542",ordinary,ordinary,26,0,1
"23,545",ordinary,ordinary,0,0,2
"23,550",ordinary,ordinary,27,0,3.5
"23,563",ordinary,ordinary,26,0,1
"23,566",ordinary,ordinary,0,0,1
"23,567",ordinary,ordinary,0,0,1
"23,576",ordinary,ordinary,17,0,1
"23,583",ordinary,ordinary,0,0,2
"23,585",ordinary,ordinary,0,0,1
"23,589",ordinary,ordinary,27,0,1
"23,590",ordinary,ordinary,0,0,1
"23,591",ordinary,ordinary,26,0,2
"23,592",ordinary,ordinary,27,5,3.1333333333
"23,599",ordinary,ordinary,0,0,1
"23,608",ordinary,ordinary,0,0,1
"23,610",ordinary,ordinary,0,0,2
"23,624",ordinary,ordinary,26,0,1
"23,631",ordinary,ordinary,27,0,1
"23,632",ordinary,ordinary,18,0,1
"23,640",ordinary,ordinary,35,0,1
"23,646",ordinary,ordinary,0,0,1
"23,650",top_5_10,outstanding,0,0,2
"23,655",ordinary,ordinary,0,0,1
"23,656",top_10_15,outstanding,0,0,1.2
"23,662",ordinary,ordinary,25,0,1
"23,665",ordinary,ordinary,26,0,1
"23,667",top_5,outstanding,0,0,1.5238095238
"23,670",ordinary,ordinary,0,0,1
"23,672",ordinary,ordinary,26,1,1
"23,675",ordinary,ordinary,35,0,1
"23,683",ordinary,ordinary,18,0,1
"23,688",ordinary,ordinary,0,0,1.5
"23,689",ordinary,ordinary,0,0,1
"23,690",ordinary,ordinary,17,0,1
"23,695",ordinary,ordinary,0,0,1.2
"23,709",ordinary,ordinary,26,0,1
"23,711",top_5_10,outstanding,0,0,1.5
"23,713",top_5,outstanding,0,0,1.1851851852
"23,714",ordinary,ordinary,0,0,1
"23,724",ordinary,ordinary,18,0,1
"23,726",ordinary,ordinary,0,0,3
"23,732",ordinary,ordinary,0,0,7
"23,735",ordinary,ordinary,26,0,1
"23,742",ordinary,ordinary,35,0,2
"23,749",ordinary,ordinary,0,0,1
"23,751",ordinary,ordinary,22,0,1
"23,759",ordinary,ordinary,26,0,2
"23,761",ordinary,ordinary,22,0,1.5
"23,762",ordinary,ordinary,26,0,1
"23,768",ordinary,ordinary,0,0,2
"23,769",ordinary,ordinary,18,0,7
"23,770",ordinary,ordinary,0,0,1.5
"23,774",ordinary,ordinary,24,0,1
"23,775",top_5,outstanding,0,11,6.1666666667
"23,777",top_5_10,outstanding,24,0,1
"23,784",ordinary,ordinary,24,0,1
"23,785",ordinary,ordinary,0,0,1
"23,787",ordinary,ordinary,24,0,1
"23,791",ordinary,ordinary,0,0,1
"23,792",ordinary,ordinary,0,0,1
"23,797",ordinary,ordinary,18,0,2
"23,801",ordinary,ordinary,18,0,1.3333333333
"23,803",ordinary,ordinary,20,0,1
"23,810",ordinary,ordinary,0,0,1
"23,816",ordinary,ordinary,0,0,2
"23,817",ordinary,ordinary,27,0,1
"23,826",ordinary,ordinary,18,0,2
"23,833",ordinary,ordinary,0,0,1
"23,835",ordinary,ordinary,0,0,2.3
"23,837",ordinary,ordinary,20,0,6
"23,844",ordinary,ordinary,18,0,1
"23,848",ordinary,ordinary,0,0,1
"23,851",ordinary,ordinary,17,0,3
"23,852",ordinary,ordinary,0,0,1
"23,855",ordinary,ordinary,18,0,1
"23,861",ordinary,ordinary,17,0,1
"23,867",ordinary,ordinary,0,0,2
"23,870",ordinary,ordinary,17,0,1
"23,873",ordinary,ordinary,35,0,1
"23,874",ordinary,ordinary,0,0,1
"23,876",ordinary,ordinary,17,0,1
"23,877",top_5,outstanding,0,0,1.7564766839
"23,884",ordinary,ordinary,0,0,2
"23,887",ordinary,ordinary,0,0,1
"23,890",ordinary,ordinary,26,1,1.4
"23,892",ordinary,ordinary,0,0,2
"23,904",ordinary,ordinary,26,1,4
"23,906",ordinary,ordinary,0,0,1
"23,912",ordinary,ordinary,27,0,1
"23,914",ordinary,ordinary,18,0,1
"23,915",ordinary,ordinary,0,0,1
"23,920",ordinary,ordinary,0,0,1
"23,921",ordinary,ordinary,25,0,2
"23,922",ordinary,ordinary,0,0,4
"23,926",ordinary,ordinary,0,0,1
"23,929",ordinary,ordinary,0,0,1
"23,930",ordinary,ordinary,0,0,1
"23,940",ordinary,ordinary,0,0,1
"23,950",top_5,outstanding,0,0,2.4285714286
"23,953",ordinary,ordinary,22,0,2
"23,962",top_10_15,outstanding,0,1,2.5
"23,965",ordinary,ordinary,0,0,1
"23,968",ordinary,ordinary,20,0,1
"23,974",ordinary,ordinary,0,1,1.6666666667
"23,980",ordinary,ordinary,0,1,1.2
"23,982",ordinary,ordinary,18,0,1
"23,987",ordinary,ordinary,22,0,1
"24,000",ordinary,ordinary,18,0,3
"24,002",ordinary,ordinary,0,0,5
"24,014",ordinary,ordinary,0,0,1
"24,017",ordinary,ordinary,26,0,1
"24,020",ordinary,ordinary,0,1,1.75
"24,023",ordinary,ordinary,18,0,2
"24,024",ordinary,ordinary,26,1,1
"24,025",ordinary,ordinary,0,0,1
"24,027",ordinary,ordinary,22,0,1
"24,030",ordinary,ordinary,17,0,1.25
"24,031",ordinary,ordinary,0,0,1
"24,033",ordinary,ordinary,0,0,2.5
"24,034",ordinary,ordinary,0,0,1
"24,037",ordinary,ordinary,0,0,1
"24,046",ordinary,ordinary,0,0,1
"24,048",ordinary,ordinary,0,2,6
"24,055",ordinary,ordinary,0,0,1
"24,057",ordinary,ordinary,0,0,2
"24,059",ordinary,ordinary,0,0,1
"24,063",ordinary,ordinary,35,0,1
"24,064",ordinary,ordinary,0,0,1
"24,070",ordinary,ordinary,22,0,1
"24,071",ordinary,ordinary,0,0,1
"24,072",ordinary,ordinary,18,0,2
"24,079",ordinary,ordinary,27,0,1
"24,096",ordinary,ordinary,17,0,2
"24,101",ordinary,ordinary,18,0,1
"24,106",ordinary,ordinary,27,0,2.5
"24,113",ordinary,ordinary,0,0,1
"24,114",ordinary,ordinary,0,0,1
"24,117",ordinary,ordinary,17,2,9
"24,119",ordinary,ordinary,0,0,2
"24,125",ordinary,ordinary,18,0,2
"24,131",ordinary,ordinary,0,0,2
"24,133",ordinary,ordinary,0,0,1
"24,136",ordinary,ordinary,35,0,1.5
"24,139",ordinary,ordinary,0,0,1
"24,146",ordinary,ordinary,0,0,1.5
"24,149",ordinary,ordinary,26,0,1
"24,154",ordinary,ordinary,18,0,1
"24,163",ordinary,ordinary,0,0,1
"24,167",ordinary,ordinary,0,0,1.6666666667
"24,172",top_5,outstanding,0,8,1.6
"24,182",ordinary,ordinary,35,0,1
"24,188",ordinary,ordinary,35,0,1
"24,195",ordinary,ordinary,35,0,2
"24,199",ordinary,ordinary,27,0,1
"24,206",ordinary,ordinary,0,0,1.6666666667
"24,213",ordinary,ordinary,0,0,1
"24,215",ordinary,ordinary,0,0,2
"24,219",ordinary,ordinary,20,0,1
"24,220",ordinary,ordinary,0,1,6
"24,221",ordinary,ordinary,0,0,2
"24,225",top_10_15,outstanding,0,2,1.8888888889
"24,231",ordinary,ordinary,0,0,3
"24,233",ordinary,ordinary,18,0,1
"24,237",ordinary,ordinary,35,1,3
"24,247",ordinary,ordinary,0,0,2
"24,257",ordinary,ordinary,18,0,1
"24,261",ordinary,ordinary,0,0,1
"24,263",ordinary,ordinary,22,0,1
"24,266",ordinary,ordinary,0,0,2
"24,271",ordinary,ordinary,0,0,1
"24,272",ordinary,ordinary,22,0,1
"24,274",ordinary,ordinary,0,0,1
"24,275",ordinary,ordinary,0,0,2.25
"24,279",ordinary,ordinary,0,1,6
"24,281",ordinary,ordinary,17,4,5.75
"24,286",ordinary,ordinary,26,0,1
"24,290",ordinary,ordinary,0,0,1
"24,291",ordinary,ordinary,18,0,1
"24,295",ordinary,ordinary,18,0,1
"24,298",ordinary,ordinary,0,0,2
"24,299",ordinary,ordinary,0,0,6
"24,303",ordinary,ordinary,22,2,2
"24,308",ordinary,ordinary,18,0,1
"24,310",ordinary,ordinary,22,0,1
"24,311",ordinary,ordinary,17,0,1
"24,312",ordinary,ordinary,0,0,1
"24,317",ordinary,ordinary,0,0,1.6666666667
"24,325",ordinary,ordinary,22,1,2
"24,336",ordinary,ordinary,0,0,1
"24,342",ordinary,ordinary,0,0,1
"24,348",ordinary,ordinary,22,0,1
"24,360",top_10_15,outstanding,20,0,1
"24,363",ordinary,ordinary,35,0,1
"24,372",ordinary,ordinary,0,0,2
"24,373",ordinary,ordinary,0,0,1
"24,380",ordinary,ordinary,0,0,2
"24,384",ordinary,ordinary,22,0,1
"24,392",ordinary,ordinary,26,0,1
"24,395",ordinary,ordinary,35,0,1
"24,403",ordinary,ordinary,19,0,1
"24,404",ordinary,ordinary,35,0,2
"24,406",ordinary,ordinary,19,0,1
"24,407",top_5_10,outstanding,0,2,1.7058823529
"24,410",top_5_10,outstanding,17,0,3.8
"24,414",ordinary,ordinary,35,0,1
"24,416",ordinary,ordinary,0,0,1
"24,417",ordinary,ordinary,0,0,1
"24,426",top_5_10,outstanding,0,0,2
"24,428",ordinary,ordinary,35,0,1
"24,432",ordinary,ordinary,0,0,1.3333333333
"24,433",ordinary,ordinary,35,0,1
"24,437",ordinary,ordinary,0,0,1
"24,448",ordinary,ordinary,0,0,1
"24,451",ordinary,ordinary,0,0,1
"24,453",ordinary,ordinary,18,0,1
"24,461",ordinary,ordinary,0,0,2
"24,468",ordinary,ordinary,22,0,2
"24,470",ordinary,ordinary,22,0,1
"24,480",ordinary,ordinary,0,0,1.2
"24,495",ordinary,ordinary,0,0,5
"24,501",ordinary,ordinary,0,0,1
"24,503",ordinary,ordinary,17,0,1
"24,504",top_5_10,outstanding,0,0,5
"24,506",ordinary,ordinary,35,0,1
"24,507",ordinary,ordinary,0,0,1
"24,508",ordinary,ordinary,0,0,1
"24,509",ordinary,ordinary,0,1,2
"24,515",ordinary,ordinary,17,0,3
"24,528",ordinary,ordinary,0,0,1
"24,539",ordinary,ordinary,18,0,1
"24,540",ordinary,ordinary,0,0,3
"24,545",ordinary,ordinary,0,0,1
"24,555",ordinary,ordinary,0,0,3
"24,556",ordinary,ordinary,0,0,1
"24,559",ordinary,ordinary,0,0,1
"24,561",ordinary,ordinary,0,0,1
"24,563",ordinary,ordinary,0,0,1
"24,571",ordinary,ordinary,27,0,1
"24,574",ordinary,ordinary,22,0,1
"24,575",ordinary,ordinary,24,0,6
"24,579",top_5,outstanding,0,0,2.8333333333
"24,583",ordinary,ordinary,0,0,1
"24,588",ordinary,ordinary,27,1,2.8
"24,589",ordinary,ordinary,35,0,2
"24,595",ordinary,ordinary,0,0,2
"24,600",ordinary,ordinary,22,0,1
"24,601",ordinary,ordinary,0,0,2
"24,603",ordinary,ordinary,0,3,6
"24,610",top_5,outstanding,0,22,1.7166666667
"24,612",ordinary,ordinary,25,0,1
"24,621",ordinary,ordinary,24,0,1
"24,623",ordinary,ordinary,0,0,1
"24,624",ordinary,ordinary,0,1,3
"24,626",ordinary,ordinary,0,0,1
"24,643",ordinary,ordinary,25,1,4
"24,647",ordinary,ordinary,24,0,1.6666666667
"24,648",ordinary,ordinary,0,0,1
"24,658",ordinary,ordinary,0,0,3
"24,661",ordinary,ordinary,0,0,1
"24,662",ordinary,ordinary,22,0,3
"24,663",ordinary,ordinary,22,0,1
"24,666",ordinary,ordinary,22,0,1
"24,670",ordinary,ordinary,18,0,1
"24,676",ordinary,ordinary,18,1,5
"24,688",ordinary,ordinary,17,0,1
"24,690",ordinary,ordinary,27,0,3.25
"24,693",ordinary,ordinary,18,0,1
"24,699",ordinary,ordinary,0,0,1
"24,702",ordinary,ordinary,27,0,1
"24,704",top_5_10,outstanding,0,4,1.25
"24,711",ordinary,ordinary,18,0,2
"24,712",ordinary,ordinary,18,0,3
"24,716",ordinary,ordinary,0,0,1
"24,717",ordinary,ordinary,0,0,1
"24,720",ordinary,ordinary,0,0,1.3333333333
"24,724",ordinary,ordinary,0,0,2
"24,725",ordinary,ordinary,0,0,1
"24,727",ordinary,ordinary,0,0,1
"24,728",ordinary,ordinary,0,0,2
"24,730",ordinary,ordinary,22,0,1
"24,734",ordinary,ordinary,18,0,1
"24,736",ordinary,ordinary,22,0,3
"24,740",ordinary,ordinary,24,0,1
