"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"500,130",0,0.2662799496,1,4,8,0.0047438618,0.2769127901,3,"31,304",2,4,44,2,0.0000366835,"1,043",0,145,ordinary,ordinary
"498,460",620.6754516371,0.2933103678,0.6000000238,6,7,0.0269480887,0.3087291063,3,"45,846",2,7,9,4,0.0001110041,"1,043",0,145,ordinary,ordinary
"490,970",0,0.2873237903,1,4,7,0.0114201854,0.3006657105,3,"34,664",2,6,56,2,0.000035591,"1,043",0,145,ordinary,ordinary
"495,913",0,0.2522578487,0.5,3,8,0.000418981,0.2610421797,3,"41,110",1,3,9,2,0.0000354431,"1,043",0,145,ordinary,ordinary
"500,052",0,0.217409207,0.3333333433,4,9,0.0001927139,0.2234391534,3,"31,216",1,4,27,3,0.0000155522,"7,041",0,145,ordinary,ordinary
"495,938",301.7679606784,0.2870425752,0.0833333358,5,7,0.0129073569,0.2991908641,3,"41,168",2,6,47,3,0.0000726475,"1,043",0,145,ordinary,ordinary
"497,822",0,0.2568593112,0,1,8,0,0.2666127796,3,"45,213",0,1,27,1,0.0000155522,"5,912",0,145,ordinary,ordinary
"495,562",0,0.2821047009,0.400000006,6,7,0.0001927139,0.2951515315,3,"40,438",1,6,9,5,0.0000155522,"4,638",0,145,ordinary,ordinary
"501,187",0,0.2860083419,0,1,7,0,0.2982963564,3,"32,576",0,1,56,1,0.0000155522,"7,603",0,145,ordinary,ordinary
"491,015",0,0.2826401156,0.5,2,7,0,0.2954319986,3,"34,712",0,2,56,2,0.0000155522,"1,957",0,145,ordinary,ordinary
"500,076",0,0.2460276781,0,1,8,0,0.2548374369,3,"31,246",0,1,44,1,0.0000155522,"7,049",0,145,ordinary,ordinary
"499,139",0,0.2746423927,0.5,2,7,0,0.2857003066,3,"46,524",0,2,31,2,0.0000155522,"6,586",0,145,ordinary,ordinary
"489,561",0,0.2873237903,0,2,7,0.0110763864,0.3006657105,3,"32,995",1,4,56,1,0.000035591,"1,043",0,145,ordinary,ordinary
"495,861",0,0.2943143813,0.4499999881,5,7,0,0.3083134921,3,"41,021",0,5,9,5,0.0000155522,"4,809",0,145,ordinary,ordinary
"491,506",0,0.2902693788,0.5,2,7,0,0.3039308261,3,"35,284",0,2,56,2,0.0000155522,"2,226",0,145,ordinary,ordinary
"498,394","11,798.9417871246",0.3100187926,0.4038461447,15,7,0.0025348125,0.3280852254,3,"45,784",2,27,9,13,0.0000493749,"1,043",0,145,ordinary,ordinary
"493,241",0,0.2733533554,0,2,7,0.0165209838,0.2851545657,3,"37,412",1,2,16,1,0.0000709221,"1,043",0,145,ordinary,ordinary
"491,673",0,0.2961467272,0.5,2,7,0,0.3107837302,3,"35,470",0,2,47,2,0.0000155522,"2,303",0,145,ordinary,ordinary
"497,531",0,0.2767150569,0.5,3,7,0,0.2911530483,3,"44,588",0,4,43,3,0.0000155522,"5,779",0,145,ordinary,ordinary
"495,860",0,0.2642774914,0.5,4,8,0.0001927139,0.2745123106,3,"41,020",1,4,16,3,0.0000155522,"4,808",0,145,ordinary,ordinary
"495,361",0,0.2834442774,1,3,8,0,0.296943768,3,"40,058",0,4,27,3,0.0000155522,"4,522",0,145,ordinary,ordinary
"497,593",0,0.253553592,0,2,8,0,0.2634571158,3,"44,714",0,2,16,2,0.0000155522,"5,812",0,145,ordinary,ordinary
"499,804",0,0.2722491492,0,4,8,0,0.2837759289,3,"30,918",0,4,44,4,0.0000155522,"6,906",0,145,ordinary,ordinary
"496,010",0,0.2832546664,0.3333333433,4,7,0,0.2960992236,3,"41,339",0,4,9,4,0.0000155522,"4,914",0,145,ordinary,ordinary
"494,794",0,0.2103460635,0,1,9,0,0.2156507125,3,"39,372",0,1,16,1,0.0000155522,"4,164",0,145,ordinary,ordinary
"489,752",0,0.2705333812,1,2,8,0,0.2819216721,3,"33,208",0,2,56,2,0.0000155522,"1,255",0,145,ordinary,ordinary
"496,993",0,0.2860858257,0.5,3,7,0.0001927139,0.2990692641,3,"43,399",1,3,44,2,0.0000155522,"5,486",0,145,ordinary,ordinary
"493,553",0,0.2779678863,0,2,8,0,0.2902473395,3,"37,814",0,2,56,2,0.0000155522,"3,410",0,145,ordinary,ordinary
"494,586",0,0.2731222843,1,2,8,0,0.2857555465,3,"39,118",0,2,27,2,0.0000155522,"4,046",0,145,ordinary,ordinary
"499,920",0,0.2756316559,0.3333333433,3,7,0,0.2878336941,3,"31,055",0,3,44,3,0.0000155522,"6,969",0,145,ordinary,ordinary
"493,578",0,0.2809706258,0.3333333433,4,8,0.0001927139,0.292510597,3,"37,848",1,4,56,3,0.0000155522,"3,421",0,145,ordinary,ordinary
"501,290",0,0.2563355666,0,1,8,0,0.2661965639,3,"32,699",0,1,56,1,0.0000155522,"7,647",0,145,ordinary,ordinary
"494,032",0,0.269539027,0,1,8,0,0.2812574405,3,"38,446",0,1,16,1,0.0000155522,"3,689",0,145,ordinary,ordinary
"497,478",0,0.2510818394,0,2,8,0,0.2609771825,3,"44,476",0,2,56,2,0.0000155522,"5,752",0,145,ordinary,ordinary
"496,489","5,280",0.26584445,0,3,7,0.0001998039,0.277970893,3,"42,275",1,3,27,2,0.0000270548,"1,052",0,145,ordinary,ordinary
"496,717",0,0.2846207752,0.400000006,6,7,0.0001927139,0.2990539322,3,"42,760",1,6,16,5,0.0000155522,"5,322",0,145,ordinary,ordinary
