"id_user","count_i_usage","category","class","class2"
"12,559",1,top_40_45,ordinary,ordinary
"12,562",10,top_50_100,ordinary,ordinary
"12,564",8,top_45_50,ordinary,ordinary
"12,569",4,top_50_100,ordinary,ordinary
"12,573",2,top_50_100,ordinary,ordinary
"12,575",2,top_50_100,ordinary,ordinary
"12,577",6,top_50_100,ordinary,ordinary
"12,578",5,top_50_100,ordinary,ordinary
"12,582",3,top_15_20,ordinary,ordinary
"12,587",1,top_30_35,ordinary,ordinary
"12,594",122,top_5,top_5,outstanding
"12,596",40,top_5,top_5,outstanding
"12,599",5,top_50_100,ordinary,ordinary
"12,600",20,top_25_30,ordinary,ordinary
"12,601",7,top_30_35,ordinary,ordinary
"12,604",2,top_50_100,ordinary,ordinary
"12,605",4,top_5,top_5,outstanding
"12,606",2,top_50_100,ordinary,ordinary
"12,607",4,top_35_40,ordinary,ordinary
"12,615",78,top_5,top_5,outstanding
"12,617",7,top_45_50,ordinary,ordinary
"12,619",15,top_10_15,top_10_15,outstanding
"12,620",6,top_35_40,ordinary,ordinary
"12,621",1,top_15_20,ordinary,ordinary
"12,622",7,top_20_25,ordinary,ordinary
"12,623",17,top_15_20,ordinary,ordinary
"12,625",4,top_5_10,top_5_10,outstanding
"12,626",1,top_50_100,ordinary,ordinary
"12,627",4,top_15_20,ordinary,ordinary
"12,629",3,top_40_45,ordinary,ordinary
"12,632",7,top_50_100,ordinary,ordinary
"12,635",4,top_30_35,ordinary,ordinary
"12,636",1,top_50_100,ordinary,ordinary
"12,637",2,top_20_25,ordinary,ordinary
"12,638",4,top_50_100,ordinary,ordinary
"12,639",1,top_50_100,ordinary,ordinary
"12,641",9,top_10_15,top_10_15,outstanding
"12,650",2,top_5,top_5,outstanding
"12,660",14,top_5_10,top_5_10,outstanding
"12,664",15,top_15_20,ordinary,ordinary
"12,665",1,top_30_35,ordinary,ordinary
"12,667",1,top_15_20,ordinary,ordinary
"12,669",1,top_50_100,ordinary,ordinary
"12,675",15,top_50_100,ordinary,ordinary
"12,677",5,top_30_35,ordinary,ordinary
"12,685",2,top_30_35,ordinary,ordinary
"12,686",8,top_10_15,top_10_15,outstanding
"12,687",16,top_5_10,top_5_10,outstanding
"12,691",13,top_5,top_5,outstanding
"12,693",6,top_30_35,ordinary,ordinary
"12,694",6,top_40_45,ordinary,ordinary
"12,698",5,top_40_45,ordinary,ordinary
"12,700",3,top_35_40,ordinary,ordinary
"12,707",11,top_20_25,ordinary,ordinary
"12,712",13,top_35_40,ordinary,ordinary
"12,718",2,top_40_45,ordinary,ordinary
"12,723",24,top_10_15,top_10_15,outstanding
"12,725",18,top_15_20,ordinary,ordinary
"12,728",2,top_20_25,ordinary,ordinary
"12,732",1,top_40_45,ordinary,ordinary
"12,739",10,top_50_100,ordinary,ordinary
"12,740",11,top_50_100,ordinary,ordinary
"12,743",111,top_5,top_5,outstanding
"12,744",20,top_50_100,ordinary,ordinary
"12,747",1,top_30_35,ordinary,ordinary
"12,751",4,top_10_15,top_10_15,outstanding
"12,753",4,top_25_30,ordinary,ordinary
"12,756",8,top_25_30,ordinary,ordinary
"12,758",11,top_15_20,ordinary,ordinary
"12,764",5,top_40_45,ordinary,ordinary
"12,770",2,top_50_100,ordinary,ordinary
"12,783",3,top_30_35,ordinary,ordinary
"12,784",12,top_30_35,ordinary,ordinary
"12,786",7,top_50_100,ordinary,ordinary
"12,787",4,top_50_100,ordinary,ordinary
"12,789",7,top_50_100,ordinary,ordinary
"12,793",3,top_10_15,top_10_15,outstanding
"12,795",2,top_50_100,ordinary,ordinary
"12,798",1,top_20_25,ordinary,ordinary
"12,799",23,top_5,top_5,outstanding
"12,809",7,top_50_100,ordinary,ordinary
"12,812",1,top_50_100,ordinary,ordinary
"12,819",3,top_50_100,ordinary,ordinary
"12,821",10,top_5,top_5,outstanding
"12,826",6,top_30_35,ordinary,ordinary
"12,828",1,top_50_100,ordinary,ordinary
"12,832",8,top_10_15,top_10_15,outstanding
"12,834",5,top_25_30,ordinary,ordinary
"12,836",14,top_50_100,ordinary,ordinary
"12,841",1,top_40_45,ordinary,ordinary
"12,845",29,top_15_20,ordinary,ordinary
"12,852",4,top_40_45,ordinary,ordinary
"12,857",1,top_50_100,ordinary,ordinary
"12,859",1,top_50_100,ordinary,ordinary
"12,860",10,top_25_30,ordinary,ordinary
"12,862",3,top_50_100,ordinary,ordinary
"12,863",2,top_50_100,ordinary,ordinary
"12,866",6,top_50_100,ordinary,ordinary
"12,868",3,top_50_100,ordinary,ordinary
"12,873",3,top_30_35,ordinary,ordinary
"12,876",11,top_10_15,top_10_15,outstanding
"12,879",1,top_40_45,ordinary,ordinary
"12,893",2,top_40_45,ordinary,ordinary
"12,894",3,top_35_40,ordinary,ordinary
"12,895",1,top_50_100,ordinary,ordinary
"12,896",1,top_50_100,ordinary,ordinary
"12,902",7,top_50_100,ordinary,ordinary
"12,903",25,top_5_10,top_5_10,outstanding
"12,905",2,top_10_15,top_10_15,outstanding
"12,908",7,top_30_35,ordinary,ordinary
"12,909",1,top_35_40,ordinary,ordinary
"12,910",16,top_15_20,ordinary,ordinary
"12,913",33,top_5,top_5,outstanding
"12,914",12,top_30_35,ordinary,ordinary
"12,915",18,top_50_100,ordinary,ordinary
"12,922",3,top_25_30,ordinary,ordinary
"12,924",29,top_5_10,top_5_10,outstanding
"12,928",1,top_10_15,top_10_15,outstanding
"12,933",30,top_10_15,top_10_15,outstanding
"12,934",2,top_50_100,ordinary,ordinary
"12,939",2,top_50_100,ordinary,ordinary
"12,941",4,top_30_35,ordinary,ordinary
"12,943",2,top_50_100,ordinary,ordinary
"12,944",10,top_50_100,ordinary,ordinary
"12,945",5,top_15_20,ordinary,ordinary
"12,950",6,top_10_15,top_10_15,outstanding
"12,954",5,top_15_20,ordinary,ordinary
"12,962",8,top_30_35,ordinary,ordinary
"12,963",36,top_5,top_5,outstanding
"12,964",11,top_50_100,ordinary,ordinary
"12,970",3,top_50_100,ordinary,ordinary
"12,971",14,top_50_100,ordinary,ordinary
"12,974",8,top_50_100,ordinary,ordinary
"12,978",2,top_15_20,ordinary,ordinary
"12,981",3,top_20_25,ordinary,ordinary
"12,984",6,top_50_100,ordinary,ordinary
"12,985",1,top_30_35,ordinary,ordinary
"12,992",4,top_25_30,ordinary,ordinary
"12,993",2,top_50_100,ordinary,ordinary
"12,999",2,top_50_100,ordinary,ordinary
"13,002",41,top_5,top_5,outstanding
"13,003",4,top_50_100,ordinary,ordinary
"13,004",2,top_5_10,top_5_10,outstanding
"13,010",16,top_15_20,ordinary,ordinary
"13,014",9,top_20_25,ordinary,ordinary
"13,017",1,top_50_100,ordinary,ordinary
"13,019",19,top_15_20,ordinary,ordinary
"13,024",2,top_50_100,ordinary,ordinary
"13,025",16,top_10_15,top_10_15,outstanding
"13,026",4,top_20_25,ordinary,ordinary
"13,035",5,top_5_10,top_5_10,outstanding
"13,039",11,top_5_10,top_5_10,outstanding
"13,045",2,top_40_45,ordinary,ordinary
"13,050",6,top_30_35,ordinary,ordinary
"13,051",10,top_20_25,ordinary,ordinary
"13,054",13,top_50_100,ordinary,ordinary
"13,056",1,top_50_100,ordinary,ordinary
"13,059",13,top_10_15,top_10_15,outstanding
"13,060",5,top_25_30,ordinary,ordinary
"13,062",11,top_50_100,ordinary,ordinary
"13,063",3,top_50_100,ordinary,ordinary
"13,067",8,top_45_50,ordinary,ordinary
"13,068",5,top_50_100,ordinary,ordinary
"13,074",20,top_50_100,ordinary,ordinary
"13,075",16,top_20_25,ordinary,ordinary
"13,076",5,top_50_100,ordinary,ordinary
"13,077",3,top_50_100,ordinary,ordinary
"13,081",7,top_50_100,ordinary,ordinary
"13,083",2,top_50_100,ordinary,ordinary
"13,084",2,top_50_100,ordinary,ordinary
"13,085",6,top_20_25,ordinary,ordinary
"13,090",3,top_50_100,ordinary,ordinary
"13,092",1,top_30_35,ordinary,ordinary
"13,093",3,top_40_45,ordinary,ordinary
"13,098",6,top_30_35,ordinary,ordinary
"13,099",6,top_50_100,ordinary,ordinary
"13,104",27,top_5_10,top_5_10,outstanding
"13,105",3,top_50_100,ordinary,ordinary
"13,107",1,top_50_100,ordinary,ordinary
"13,109",2,top_35_40,ordinary,ordinary
"13,110",4,top_50_100,ordinary,ordinary
"13,111",15,top_50_100,ordinary,ordinary
"13,113",33,top_50_100,ordinary,ordinary
"13,122",2,top_50_100,ordinary,ordinary
