"id_user","count_i_usage","category","class","class2"
"35,678",10,top_10_15,top_10_15,outstanding
"35,679",8,top_30_35,ordinary,ordinary
"35,680",3,top_50_100,ordinary,ordinary
"35,685",1,top_50_100,ordinary,ordinary
"35,690",1,top_20_25,ordinary,ordinary
"35,691",36,top_35_40,ordinary,ordinary
"35,695",29,top_5_10,top_5_10,outstanding
"35,696",5,top_50_100,ordinary,ordinary
"35,699",8,top_50_100,ordinary,ordinary
"35,700",4,top_50_100,ordinary,ordinary
"35,701",14,top_50_100,ordinary,ordinary
"35,703",17,top_5_10,top_5_10,outstanding
"35,706",4,top_50_100,ordinary,ordinary
"35,707",1,top_50_100,ordinary,ordinary
"35,711",1,top_45_50,ordinary,ordinary
"35,712",22,top_20_25,ordinary,ordinary
"35,715",1,top_40_45,ordinary,ordinary
"35,718",2,top_50_100,ordinary,ordinary
"35,720",9,top_15_20,ordinary,ordinary
"35,722",4,top_50_100,ordinary,ordinary
"35,726",47,top_5,top_5,outstanding
"35,727",31,top_15_20,ordinary,ordinary
"35,731",1,top_50_100,ordinary,ordinary
"35,732",7,top_45_50,ordinary,ordinary
"35,737",14,top_50_100,ordinary,ordinary
"35,739",3,top_50_100,ordinary,ordinary
"35,745",1,top_50_100,ordinary,ordinary
"35,746",4,top_20_25,ordinary,ordinary
"35,749",1,top_45_50,ordinary,ordinary
"35,752",2,top_50_100,ordinary,ordinary
"35,753",10,top_15_20,ordinary,ordinary
"35,754",9,top_45_50,ordinary,ordinary
"35,755",7,top_50_100,ordinary,ordinary
"35,756",3,top_50_100,ordinary,ordinary
"35,757",15,top_10_15,top_10_15,outstanding
"35,759",4,top_50_100,ordinary,ordinary
"35,760",9,top_50_100,ordinary,ordinary
"35,761",12,top_30_35,ordinary,ordinary
"35,763",1,top_25_30,ordinary,ordinary
"35,767",1,top_50_100,ordinary,ordinary
"35,772",14,top_50_100,ordinary,ordinary
"35,775",3,top_50_100,ordinary,ordinary
"35,776",1,top_45_50,ordinary,ordinary
"35,779",1,top_50_100,ordinary,ordinary
"35,781",34,top_5,top_5,outstanding
"35,786",5,top_20_25,ordinary,ordinary
"35,793",5,top_50_100,ordinary,ordinary
"35,795",6,top_50_100,ordinary,ordinary
"35,804",1,top_50_100,ordinary,ordinary
"35,808",2,top_50_100,ordinary,ordinary
"35,810",4,top_50_100,ordinary,ordinary
"35,812",4,top_40_45,ordinary,ordinary
"35,813",6,top_50_100,ordinary,ordinary
"35,814",2,top_50_100,ordinary,ordinary
"35,815",2,top_50_100,ordinary,ordinary
"35,818",2,top_20_25,ordinary,ordinary
"35,819",1,top_50_100,ordinary,ordinary
"35,822",1,top_50_100,ordinary,ordinary
