"id_user","count_they_usage","category","class","class2"
"7,305",20,top_5,top_5,outstanding
"7,313",4,top_5,top_5,outstanding
"7,314",2,top_10_15,top_10_15,outstanding
"7,316",6,top_20_25,ordinary,ordinary
"7,318",9,top_5,top_5,outstanding
"7,325",25,top_5,top_5,outstanding
"7,328",1,top_15_20,ordinary,ordinary
"7,330",3,top_10_15,top_10_15,outstanding
"7,333",6,top_5,top_5,outstanding
"7,335",1,top_5_10,top_5_10,outstanding
"7,338",2,top_5_10,top_5_10,outstanding
"7,340",1,top_10_15,top_10_15,outstanding
"7,344",1,top_15_20,ordinary,ordinary
"7,345",4,top_10_15,top_10_15,outstanding
"7,346",6,top_15_20,ordinary,ordinary
"7,347",1,top_50_100,ordinary,ordinary
"7,357",1,top_20_25,ordinary,ordinary
"7,359",4,top_10_15,top_10_15,outstanding
"7,361",2,top_5_10,top_5_10,outstanding
"7,370",8,top_20_25,ordinary,ordinary
"7,373",2,top_20_25,ordinary,ordinary
"7,374",198,top_5,top_5,outstanding
"7,376",4,top_45_50,ordinary,ordinary
"7,377",1,top_30_35,ordinary,ordinary
"7,378",4,top_10_15,top_10_15,outstanding
"7,379",3,top_15_20,ordinary,ordinary
"7,380",4,top_10_15,top_10_15,outstanding
"7,382",4,top_50_100,ordinary,ordinary
"7,384",5,top_10_15,top_10_15,outstanding
"7,386",15,top_5,top_5,outstanding
"7,387",2,top_20_25,ordinary,ordinary
"7,388",4,top_5_10,top_5_10,outstanding
"7,391",3,top_50_100,ordinary,ordinary
"7,392",3,top_5,top_5,outstanding
"7,398",9,top_5,top_5,outstanding
"7,403",4,top_5,top_5,outstanding
"7,408",1,top_20_25,ordinary,ordinary
"7,410",1,top_50_100,ordinary,ordinary
"7,412",3,top_15_20,ordinary,ordinary
"7,413",1,top_10_15,top_10_15,outstanding
"7,416",106,top_5,top_5,outstanding
"7,419",11,top_5,top_5,outstanding
"7,422",6,top_5_10,top_5_10,outstanding
"7,429",8,top_5,top_5,outstanding
"7,430",1,top_15_20,ordinary,ordinary
"7,434",5,top_25_30,ordinary,ordinary
"7,435",353,top_5,top_5,outstanding
"7,439",21,top_5,top_5,outstanding
"7,443",14,top_5_10,top_5_10,outstanding
"7,446",19,top_5,top_5,outstanding
"7,447",3,top_5_10,top_5_10,outstanding
"7,454",26,top_5,top_5,outstanding
"7,458",2,top_15_20,ordinary,ordinary
"7,459",6,top_45_50,ordinary,ordinary
"7,461",1,top_15_20,ordinary,ordinary
"7,463",6,top_5_10,top_5_10,outstanding
"7,465",1,top_20_25,ordinary,ordinary
"7,466",8,top_5_10,top_5_10,outstanding
"7,467",11,top_25_30,ordinary,ordinary
"7,470",6,top_10_15,top_10_15,outstanding
"7,473",3,top_25_30,ordinary,ordinary
"7,474",2,top_50_100,ordinary,ordinary
"7,475",2,top_5,top_5,outstanding
"7,487",8,top_5,top_5,outstanding
"7,489",10,top_5_10,top_5_10,outstanding
"7,490",2,top_10_15,top_10_15,outstanding
"7,491",1,top_20_25,ordinary,ordinary
"7,496",10,top_10_15,top_10_15,outstanding
"7,503",3,top_5_10,top_5_10,outstanding
"7,505",12,top_5_10,top_5_10,outstanding
"7,506",1,top_50_100,ordinary,ordinary
"7,509",4,top_25_30,ordinary,ordinary
"7,511",2,top_15_20,ordinary,ordinary
"7,522",2,top_50_100,ordinary,ordinary
"7,529",6,top_20_25,ordinary,ordinary
"7,538",3,top_20_25,ordinary,ordinary
"7,542",3,top_15_20,ordinary,ordinary
"7,543",1,top_5_10,top_5_10,outstanding
"7,545",2,top_40_45,ordinary,ordinary
"7,546",10,top_45_50,ordinary,ordinary
"7,550",2,top_10_15,top_10_15,outstanding
"7,554",1,top_15_20,ordinary,ordinary
"7,555",3,top_5,top_5,outstanding
"7,556",1,top_5_10,top_5_10,outstanding
