"id_user","count_we_usage","category","class","class2"
"9,677",1,top_50_100,ordinary,ordinary
"9,679",4,top_20_25,ordinary,ordinary
"9,683",1,top_10_15,top_10_15,outstanding
"9,689",3,top_10_15,top_10_15,outstanding
"9,695",38,top_5,top_5,outstanding
"9,701",10,top_15_20,ordinary,ordinary
"9,717",1,top_30_35,ordinary,ordinary
"9,718",1,top_10_15,top_10_15,outstanding
"9,724",7,top_50_100,ordinary,ordinary
"9,727",29,top_5,top_5,outstanding
"9,729",1,top_25_30,ordinary,ordinary
"9,738",6,top_20_25,ordinary,ordinary
"9,739",1,top_50_100,ordinary,ordinary
"9,740",1,top_50_100,ordinary,ordinary
"9,747",4,top_25_30,ordinary,ordinary
"9,752",44,top_5,top_5,outstanding
"9,754",1,top_50_100,ordinary,ordinary
"9,758",2,top_50_100,ordinary,ordinary
"9,761",1,top_50_100,ordinary,ordinary
"9,763",3,top_50_100,ordinary,ordinary
"9,768",1,top_50_100,ordinary,ordinary
"9,781",1,top_50_100,ordinary,ordinary
"9,796",5,top_15_20,ordinary,ordinary
"9,800",1,top_10_15,top_10_15,outstanding
"9,803",1,top_50_100,ordinary,ordinary
"9,809",2,top_50_100,ordinary,ordinary
"9,819",2,top_50_100,ordinary,ordinary
"9,827",1,top_15_20,ordinary,ordinary
"9,828",3,top_50_100,ordinary,ordinary
"9,830",3,top_35_40,ordinary,ordinary
"9,831",1,top_50_100,ordinary,ordinary
"9,835",1,top_50_100,ordinary,ordinary
"9,842",1,top_50_100,ordinary,ordinary
"9,844",6,top_5_10,top_5_10,outstanding
"9,847",1,top_30_35,ordinary,ordinary
"9,848",8,top_15_20,ordinary,ordinary
"9,850",1,top_50_100,ordinary,ordinary
"9,855",5,top_50_100,ordinary,ordinary
"9,857",14,top_5,top_5,outstanding
"9,863",1,top_50_100,ordinary,ordinary
"9,870",2,top_50_100,ordinary,ordinary
"9,875",6,top_40_45,ordinary,ordinary
"9,878",220,top_5,top_5,outstanding
"9,885",1,top_50_100,ordinary,ordinary
"9,887",1,top_50_100,ordinary,ordinary
"9,899",6,top_30_35,ordinary,ordinary
"9,904",7,top_10_15,top_10_15,outstanding
"9,907",1,top_20_25,ordinary,ordinary
"9,909",6,top_20_25,ordinary,ordinary
"9,910",1,top_5_10,top_5_10,outstanding
"9,918",3,top_30_35,ordinary,ordinary
"9,921",1,top_5_10,top_5_10,outstanding
"9,925",9,top_20_25,ordinary,ordinary
"9,929",8,top_50_100,ordinary,ordinary
"9,930",4,top_10_15,top_10_15,outstanding
"9,932",103,top_5,top_5,outstanding
"9,936",1,top_15_20,ordinary,ordinary
"9,940",5,top_50_100,ordinary,ordinary
"9,942",35,top_5,top_5,outstanding
"9,946",1,top_50_100,ordinary,ordinary
"9,949",28,top_5,top_5,outstanding
"9,962",4,top_50_100,ordinary,ordinary
"9,964",1,top_10_15,top_10_15,outstanding
"9,966",9,top_15_20,ordinary,ordinary
"9,980",2,top_20_25,ordinary,ordinary
"9,993",2,top_30_35,ordinary,ordinary
"9,995",2,top_5,top_5,outstanding
"9,998",1,top_40_45,ordinary,ordinary
"10,001",3,top_30_35,ordinary,ordinary
"10,004",2,top_50_100,ordinary,ordinary
"10,020",3,top_50_100,ordinary,ordinary
"10,022",6,top_10_15,top_10_15,outstanding
"10,024",3,top_50_100,ordinary,ordinary
"10,025",1,top_35_40,ordinary,ordinary
"10,026",2,top_45_50,ordinary,ordinary
"10,033",4,top_50_100,ordinary,ordinary
"10,036",3,top_10_15,top_10_15,outstanding
"10,040",7,top_5_10,top_5_10,outstanding
"10,046",4,top_50_100,ordinary,ordinary
"10,049",1,top_15_20,ordinary,ordinary
"10,055",7,top_20_25,ordinary,ordinary
"10,068",3,top_50_100,ordinary,ordinary
"10,070",52,top_5,top_5,outstanding
"10,071",3,top_5_10,top_5_10,outstanding
"10,072",19,top_5_10,top_5_10,outstanding
"10,073",8,top_5,top_5,outstanding
"10,076",2,top_25_30,ordinary,ordinary
"10,077",4,top_25_30,ordinary,ordinary
"10,080",79,top_5,top_5,outstanding
"10,086",3,top_50_100,ordinary,ordinary
"10,088",2,top_50_100,ordinary,ordinary
"10,107",5,top_10_15,top_10_15,outstanding
"10,115",1,top_50_100,ordinary,ordinary
"10,117",1,top_50_100,ordinary,ordinary
"10,127",6,top_5_10,top_5_10,outstanding
"10,128",3,top_5_10,top_5_10,outstanding
"10,129",2,top_35_40,ordinary,ordinary
"10,132",1,top_25_30,ordinary,ordinary
"10,137",1,top_50_100,ordinary,ordinary
"10,152",3,top_35_40,ordinary,ordinary
"10,159",2,top_50_100,ordinary,ordinary
"10,168",1,top_50_100,ordinary,ordinary
"10,171",370,top_5,top_5,outstanding
"10,175",79,top_5,top_5,outstanding
"10,183",1,top_25_30,ordinary,ordinary
"10,188",15,top_40_45,ordinary,ordinary
"10,191",1,top_25_30,ordinary,ordinary
"10,199",3,top_25_30,ordinary,ordinary
"10,206",2,top_20_25,ordinary,ordinary
"10,213",1,top_35_40,ordinary,ordinary
"10,214",459,top_5,top_5,outstanding
"10,219",1,top_25_30,ordinary,ordinary
"10,228",2,top_50_100,ordinary,ordinary
"10,231",1,top_35_40,ordinary,ordinary
"10,232",5,top_15_20,ordinary,ordinary
"10,238",1,top_50_100,ordinary,ordinary
"10,248",1,top_15_20,ordinary,ordinary
"10,262",2,top_50_100,ordinary,ordinary
"10,277",1,top_10_15,top_10_15,outstanding
"10,283",1,top_45_50,ordinary,ordinary
"10,288",10,top_50_100,ordinary,ordinary
"10,292",2,top_45_50,ordinary,ordinary
"10,300",3,top_45_50,ordinary,ordinary
"10,304",1,top_15_20,ordinary,ordinary
"10,311",5,top_45_50,ordinary,ordinary
"10,318",1,top_50_100,ordinary,ordinary
"10,331",11,top_5_10,top_5_10,outstanding
"10,333",1,top_40_45,ordinary,ordinary
"10,337",2,top_25_30,ordinary,ordinary
"10,340",1,top_50_100,ordinary,ordinary
"10,350",14,top_5,top_5,outstanding
"10,351",6,top_10_15,top_10_15,outstanding
"10,353",4,top_5,top_5,outstanding
"10,370",2,top_50_100,ordinary,ordinary
"10,371",39,top_5,top_5,outstanding
"10,388",3,top_5_10,top_5_10,outstanding
"10,390",3,top_50_100,ordinary,ordinary
"10,394",1,top_10_15,top_10_15,outstanding
"10,396",2,top_50_100,ordinary,ordinary
"10,397",3,top_25_30,ordinary,ordinary
"10,399",6,top_50_100,ordinary,ordinary
"10,415",5,top_25_30,ordinary,ordinary
"10,418",3,top_50_100,ordinary,ordinary
"10,423",6,top_5_10,top_5_10,outstanding
"10,425",5,top_30_35,ordinary,ordinary
"10,431",1,top_50_100,ordinary,ordinary
"10,434",1,top_5_10,top_5_10,outstanding
"10,438",4,top_15_20,ordinary,ordinary
"10,445",6,top_10_15,top_10_15,outstanding
"10,452",1,top_15_20,ordinary,ordinary
"10,455",12,top_50_100,ordinary,ordinary
"10,458",1,top_50_100,ordinary,ordinary
"10,467",2,top_50_100,ordinary,ordinary
"10,469",1,top_50_100,ordinary,ordinary
"10,473",3,top_10_15,top_10_15,outstanding
"10,478",1,top_50_100,ordinary,ordinary
"10,492",3,top_50_100,ordinary,ordinary
"10,494",4,top_50_100,ordinary,ordinary
"10,495",5,top_10_15,top_10_15,outstanding
"10,504",6,top_15_20,ordinary,ordinary
"10,507",1,top_50_100,ordinary,ordinary
"10,521",2,top_50_100,ordinary,ordinary
"10,526",1,top_50_100,ordinary,ordinary
"10,532",5,top_15_20,ordinary,ordinary
"10,537",1,top_15_20,ordinary,ordinary
"10,543",1,top_10_15,top_10_15,outstanding
"10,555",9,top_10_15,top_10_15,outstanding
"10,560",8,top_50_100,ordinary,ordinary
"10,562",1,top_20_25,ordinary,ordinary
"10,563",2,top_25_30,ordinary,ordinary
"10,564",9,top_10_15,top_10_15,outstanding
"10,565",3,top_10_15,top_10_15,outstanding
"10,574",1,top_25_30,ordinary,ordinary
"10,576",4,top_35_40,ordinary,ordinary
"10,578",3,top_25_30,ordinary,ordinary
"10,585",4,top_5,top_5,outstanding
"10,593",13,top_15_20,ordinary,ordinary
"10,595",2,top_50_100,ordinary,ordinary
"10,599",11,top_15_20,ordinary,ordinary
"10,601",23,top_5_10,top_5_10,outstanding
"10,606",13,top_5,top_5,outstanding
"10,610",24,top_5,top_5,outstanding
"10,611",2,top_5,top_5,outstanding
"10,618",1,top_50_100,ordinary,ordinary
"10,622",1,top_50_100,ordinary,ordinary
"10,627",12,top_5_10,top_5_10,outstanding
"10,632",3,top_50_100,ordinary,ordinary
"10,633",8,top_30_35,ordinary,ordinary
"10,635",32,top_5,top_5,outstanding
"10,640",3,top_30_35,ordinary,ordinary
"10,642",1,top_50_100,ordinary,ordinary
"10,659",32,top_5,top_5,outstanding
"10,660",71,top_5,top_5,outstanding
"10,661",1,top_5_10,top_5_10,outstanding
