"id_user","count_they_usage","category","class","class2"
"45,884",2,top_50_100,ordinary,ordinary
"45,887",1,top_30_35,ordinary,ordinary
"45,893",1,top_50_100,ordinary,ordinary
"45,909",2,top_50_100,ordinary,ordinary
"45,910",1,top_50_100,ordinary,ordinary
"45,916",5,top_50_100,ordinary,ordinary
"45,932",4,top_50_100,ordinary,ordinary
"45,933",1,top_50_100,ordinary,ordinary
"45,934",4,top_10_15,top_10_15,outstanding
"45,939",1,top_30_35,ordinary,ordinary
"45,943",1,top_50_100,ordinary,ordinary
"45,947",1,top_50_100,ordinary,ordinary
"45,955",1,top_20_25,ordinary,ordinary
"45,967",2,top_5_10,top_5_10,outstanding
"45,977",1,top_20_25,ordinary,ordinary
"45,983",1,top_15_20,ordinary,ordinary
"45,998",1,top_50_100,ordinary,ordinary
"46,000",8,top_40_45,ordinary,ordinary
"46,004",1,top_40_45,ordinary,ordinary
"46,009",3,top_10_15,top_10_15,outstanding
"46,011",7,top_15_20,ordinary,ordinary
"46,013",1,top_50_100,ordinary,ordinary
"46,042",1,top_50_100,ordinary,ordinary
"46,047",1,top_50_100,ordinary,ordinary
"46,052",1,top_35_40,ordinary,ordinary
"46,065",1,top_50_100,ordinary,ordinary
"46,075",1,top_35_40,ordinary,ordinary
"46,090",2,top_35_40,ordinary,ordinary
"46,105",1,top_50_100,ordinary,ordinary
"46,107",14,top_5,top_5,outstanding
"46,117",3,top_40_45,ordinary,ordinary
"46,119",51,top_5,top_5,outstanding
"46,124",1,top_10_15,top_10_15,outstanding
"46,127",2,top_30_35,ordinary,ordinary
"46,136",1,top_50_100,ordinary,ordinary
"46,140",1,top_50_100,ordinary,ordinary
"46,141",1,top_50_100,ordinary,ordinary
"46,143",1,top_45_50,ordinary,ordinary
"46,147",7,top_30_35,ordinary,ordinary
"46,148",1,top_50_100,ordinary,ordinary
"46,161",5,top_5_10,top_5_10,outstanding
"46,162",5,top_50_100,ordinary,ordinary
"46,164",7,top_30_35,ordinary,ordinary
"46,184",1,top_50_100,ordinary,ordinary
"46,193",1,top_50_100,ordinary,ordinary
"46,197",1,top_50_100,ordinary,ordinary
"46,209",5,top_10_15,top_10_15,outstanding
"46,217",4,top_25_30,ordinary,ordinary
"46,231",1,top_45_50,ordinary,ordinary
"46,232",5,top_10_15,top_10_15,outstanding
"46,234",7,top_30_35,ordinary,ordinary
"46,236",1,top_50_100,ordinary,ordinary
"46,239",1,top_10_15,top_10_15,outstanding
"46,240",126,top_5,top_5,outstanding
"46,261",1,top_50_100,ordinary,ordinary
"46,263",1,top_45_50,ordinary,ordinary
"46,280",1,top_40_45,ordinary,ordinary
"46,287",11,top_5,top_5,outstanding
"46,296",1,top_15_20,ordinary,ordinary
"46,302",2,top_45_50,ordinary,ordinary
"46,303",2,top_35_40,ordinary,ordinary
"46,321",1,top_50_100,ordinary,ordinary
"46,328",2,top_40_45,ordinary,ordinary
"46,329",3,top_50_100,ordinary,ordinary
"46,330",23,top_35_40,ordinary,ordinary
"46,334",3,top_50_100,ordinary,ordinary
"46,337",1,top_35_40,ordinary,ordinary
"46,341",1,top_50_100,ordinary,ordinary
"46,343",1,top_50_100,ordinary,ordinary
"46,346",1,top_50_100,ordinary,ordinary
"46,351",13,top_5,top_5,outstanding
"46,386",2,top_50_100,ordinary,ordinary
"46,390",2,top_30_35,ordinary,ordinary
"46,405",1,top_50_100,ordinary,ordinary
"46,410",6,top_5,top_5,outstanding
"46,417",3,top_50_100,ordinary,ordinary
"46,426",1,top_15_20,ordinary,ordinary
"46,434",1,top_15_20,ordinary,ordinary
"46,456",5,top_35_40,ordinary,ordinary
"46,457",1,top_50_100,ordinary,ordinary
"46,461",1,top_45_50,ordinary,ordinary
"46,463",2,top_50_100,ordinary,ordinary
"46,468",11,top_5,top_5,outstanding
"46,496",1,top_50_100,ordinary,ordinary
"46,500",1,top_45_50,ordinary,ordinary
"46,516",3,top_5_10,top_5_10,outstanding
"46,518",2,top_10_15,top_10_15,outstanding
"46,524",1,top_50_100,ordinary,ordinary
"46,536",1,top_45_50,ordinary,ordinary
"46,539",1,top_25_30,ordinary,ordinary
"46,549",1,top_50_100,ordinary,ordinary
"46,555",1,top_50_100,ordinary,ordinary
"46,564",3,top_25_30,ordinary,ordinary
"46,591",1,top_10_15,top_10_15,outstanding
"46,601",1,top_25_30,ordinary,ordinary
"46,603",1,top_25_30,ordinary,ordinary
"46,612",3,top_30_35,ordinary,ordinary
"46,613",1,top_50_100,ordinary,ordinary
"46,617",1,top_10_15,top_10_15,outstanding
"46,620",1,top_40_45,ordinary,ordinary
"46,630",3,top_5,top_5,outstanding
"46,632",1,top_50_100,ordinary,ordinary
"46,636",7,top_40_45,ordinary,ordinary
"46,647",2,top_10_15,top_10_15,outstanding
"46,660",2,top_5_10,top_5_10,outstanding
"46,669",3,top_10_15,top_10_15,outstanding
"46,679",1,top_50_100,ordinary,ordinary
"46,701",1,top_50_100,ordinary,ordinary
"46,702",2,top_15_20,ordinary,ordinary
"46,703",1,top_20_25,ordinary,ordinary
"46,704",1,top_35_40,ordinary,ordinary
"46,722",1,top_5_10,top_5_10,outstanding
"46,723",3,top_30_35,ordinary,ordinary
"46,724",5,top_30_35,ordinary,ordinary
"46,732",1,top_25_30,ordinary,ordinary
"46,735",1,top_25_30,ordinary,ordinary
"46,749",2,top_25_30,ordinary,ordinary
"46,761",3,top_50_100,ordinary,ordinary
"46,770",1,top_50_100,ordinary,ordinary
"46,771",4,top_50_100,ordinary,ordinary
"46,773",3,top_50_100,ordinary,ordinary
"46,776",1,top_50_100,ordinary,ordinary
"46,782",1,top_50_100,ordinary,ordinary
"46,788",2,top_35_40,ordinary,ordinary
"46,816",1,top_15_20,ordinary,ordinary
"46,820",2,top_50_100,ordinary,ordinary
"46,821",1,top_50_100,ordinary,ordinary
"46,826",1,top_50_100,ordinary,ordinary
"46,836",1,top_50_100,ordinary,ordinary
"46,853",1,top_50_100,ordinary,ordinary
"46,857",1,top_50_100,ordinary,ordinary
"46,861",1,top_40_45,ordinary,ordinary
"46,878",1,top_15_20,ordinary,ordinary
"46,886",1,top_45_50,ordinary,ordinary
"46,889",2,top_35_40,ordinary,ordinary
"46,894",1,top_50_100,ordinary,ordinary
"46,897",4,top_50_100,ordinary,ordinary
"46,910",1,top_50_100,ordinary,ordinary
"46,911",1,top_50_100,ordinary,ordinary
"46,937",24,top_5,top_5,outstanding
"46,943",2,top_25_30,ordinary,ordinary
"46,948",1,top_50_100,ordinary,ordinary
"46,958",2,top_50_100,ordinary,ordinary
"46,968",1,top_50_100,ordinary,ordinary
"46,982",1,top_30_35,ordinary,ordinary
"46,988",2,top_50_100,ordinary,ordinary
"46,993",1,top_50_100,ordinary,ordinary
"47,021",1,top_20_25,ordinary,ordinary
"47,023",1,top_50_100,ordinary,ordinary
"47,024",5,top_45_50,ordinary,ordinary
"47,025",1,top_50_100,ordinary,ordinary
"47,029",4,top_15_20,ordinary,ordinary
"47,035",1,top_50_100,ordinary,ordinary
"47,065",1,top_30_35,ordinary,ordinary
"47,084",3,top_40_45,ordinary,ordinary
"47,088",2,top_50_100,ordinary,ordinary
"47,093",1,top_50_100,ordinary,ordinary
"47,095",1,top_50_100,ordinary,ordinary
"47,128",1,top_15_20,ordinary,ordinary
"47,161",2,top_10_15,top_10_15,outstanding
"47,171",1,top_50_100,ordinary,ordinary
"47,188",1,top_50_100,ordinary,ordinary
"47,193",3,top_5_10,top_5_10,outstanding
"47,194",1,top_45_50,ordinary,ordinary
"47,198",2,top_50_100,ordinary,ordinary
"47,200",8,top_5,top_5,outstanding
"47,205",1,top_50_100,ordinary,ordinary
"47,206",1,top_50_100,ordinary,ordinary
"47,211",1,top_50_100,ordinary,ordinary
"47,213",9,top_10_15,top_10_15,outstanding
"47,215",7,top_5_10,top_5_10,outstanding
"47,219",2,top_10_15,top_10_15,outstanding
"47,230",1,top_50_100,ordinary,ordinary
"47,251",1,top_50_100,ordinary,ordinary
"47,312",2,top_50_100,ordinary,ordinary
"47,322",3,top_20_25,ordinary,ordinary
"47,324",1,top_10_15,top_10_15,outstanding
"47,329",1,top_40_45,ordinary,ordinary
"47,333",1,top_50_100,ordinary,ordinary
"47,344",1,top_20_25,ordinary,ordinary
"47,349",1,top_50_100,ordinary,ordinary
"47,353",1,top_50_100,ordinary,ordinary
"47,361",2,top_50_100,ordinary,ordinary
"47,378",11,top_5,top_5,outstanding
"47,379",1,top_50_100,ordinary,ordinary
"47,390",5,top_5_10,top_5_10,outstanding
"47,402",1,top_50_100,ordinary,ordinary
"47,403",1,top_50_100,ordinary,ordinary
"47,407",1,top_50_100,ordinary,ordinary
"47,412",1,top_50_100,ordinary,ordinary
"47,435",9,top_30_35,ordinary,ordinary
"47,446",1,top_50_100,ordinary,ordinary
"47,496",1,top_25_30,ordinary,ordinary
"47,538",1,top_30_35,ordinary,ordinary
"47,544",2,top_50_100,ordinary,ordinary
"47,547",49,top_5,top_5,outstanding
"47,554",3,top_5_10,top_5_10,outstanding
"47,560",1,top_50_100,ordinary,ordinary
"47,567",2,top_50_100,ordinary,ordinary
"47,574",2,top_25_30,ordinary,ordinary
"47,577",1,top_40_45,ordinary,ordinary
"47,602",1,top_50_100,ordinary,ordinary
"47,609",3,top_15_20,ordinary,ordinary
"47,662",1,top_50_100,ordinary,ordinary
"47,670",2,top_35_40,ordinary,ordinary
"47,713",3,top_40_45,ordinary,ordinary
"47,755",2,top_50_100,ordinary,ordinary
"47,765",1,top_50_100,ordinary,ordinary
"47,776",1,top_50_100,ordinary,ordinary
"47,779",2,top_50_100,ordinary,ordinary
"47,787",1,top_40_45,ordinary,ordinary
"47,829",1,top_50_100,ordinary,ordinary
"47,832",1,top_40_45,ordinary,ordinary
"47,833",2,top_50_100,ordinary,ordinary
"47,834",1,top_50_100,ordinary,ordinary
"47,875",7,top_40_45,ordinary,ordinary
"47,905",1,top_15_20,ordinary,ordinary
"47,925",1,top_45_50,ordinary,ordinary
"47,946",1,top_50_100,ordinary,ordinary
"47,960",3,top_35_40,ordinary,ordinary
"47,983",7,top_5_10,top_5_10,outstanding
"47,991",1,top_5_10,top_5_10,outstanding
"48,008",1,top_50_100,ordinary,ordinary
"48,016",2,top_15_20,ordinary,ordinary
"48,033",2,top_50_100,ordinary,ordinary
"48,036",1,top_25_30,ordinary,ordinary
"48,044",2,top_50_100,ordinary,ordinary
"48,071",2,top_45_50,ordinary,ordinary
"48,110",23,top_5,top_5,outstanding
"48,118",1,top_50_100,ordinary,ordinary
"48,131",1,top_30_35,ordinary,ordinary
"48,149",3,top_50_100,ordinary,ordinary
"48,150",2,top_50_100,ordinary,ordinary
"48,206",2,top_50_100,ordinary,ordinary
"48,215",1,top_50_100,ordinary,ordinary
"48,227",1,top_50_100,ordinary,ordinary
"48,228",1,top_5_10,top_5_10,outstanding
"48,237",1,top_50_100,ordinary,ordinary
"48,241",3,top_50_100,ordinary,ordinary
"48,253",2,top_5_10,top_5_10,outstanding
"48,270",2,top_10_15,top_10_15,outstanding
"48,274",1,top_35_40,ordinary,ordinary
"48,280",1,top_10_15,top_10_15,outstanding
"48,285",2,top_5_10,top_5_10,outstanding
"48,295",1,top_50_100,ordinary,ordinary
"48,307",70,top_5,top_5,outstanding
"48,310",1,top_50_100,ordinary,ordinary
"48,320",1,top_50_100,ordinary,ordinary
"48,325",4,top_20_25,ordinary,ordinary
"48,326",1,top_40_45,ordinary,ordinary
"48,344",1,top_50_100,ordinary,ordinary
"48,347",1,top_50_100,ordinary,ordinary
"48,350",1,top_50_100,ordinary,ordinary
"48,382",1,top_5,top_5,outstanding
"48,386",3,top_20_25,ordinary,ordinary
"48,401",1,top_5,top_5,outstanding
"48,406",3,top_25_30,ordinary,ordinary
"48,428",7,top_30_35,ordinary,ordinary
"48,457",3,top_45_50,ordinary,ordinary
"48,463",3,top_50_100,ordinary,ordinary
"48,464",6,top_10_15,top_10_15,outstanding
"48,468",1,top_50_100,ordinary,ordinary
"48,492",2,top_20_25,ordinary,ordinary
"48,527",2,top_50_100,ordinary,ordinary
"48,558",3,top_30_35,ordinary,ordinary
"48,570",2,top_15_20,ordinary,ordinary
"48,574",1,top_50_100,ordinary,ordinary
"48,578",1,top_50_100,ordinary,ordinary
"48,639",2,top_20_25,ordinary,ordinary
"48,667",4,top_50_100,ordinary,ordinary
"48,690",1,top_45_50,ordinary,ordinary
"48,692",1,top_50_100,ordinary,ordinary
"48,699",30,top_10_15,top_10_15,outstanding
"48,702",2,top_50_100,ordinary,ordinary
"48,703",1,top_50_100,ordinary,ordinary
"48,772",3,top_10_15,top_10_15,outstanding
"48,782",1,top_50_100,ordinary,ordinary
"48,789",1,top_50_100,ordinary,ordinary
"48,795",3,top_30_35,ordinary,ordinary
"48,799",5,top_5,top_5,outstanding
"48,833",1,top_50_100,ordinary,ordinary
"48,845",1,top_50_100,ordinary,ordinary
"48,859",1,top_50_100,ordinary,ordinary
"48,868",2,top_35_40,ordinary,ordinary
"48,874",1,top_15_20,ordinary,ordinary
"48,887",4,top_5_10,top_5_10,outstanding
"48,893",49,top_5,top_5,outstanding
"48,901",1,top_50_100,ordinary,ordinary
"48,902",5,top_20_25,ordinary,ordinary
"48,934",3,top_15_20,ordinary,ordinary
"48,963",1,top_25_30,ordinary,ordinary
"48,964",2,top_20_25,ordinary,ordinary
"49,019",1,top_50_100,ordinary,ordinary
"49,031",1,top_50_100,ordinary,ordinary
"49,048",1,top_25_30,ordinary,ordinary
"49,059",1,top_50_100,ordinary,ordinary
"49,083",3,top_5_10,top_5_10,outstanding
"49,088",1,top_50_100,ordinary,ordinary
"49,089",11,top_10_15,top_10_15,outstanding
"49,091",1,top_20_25,ordinary,ordinary
"49,118",6,top_50_100,ordinary,ordinary
"49,122",11,top_5,top_5,outstanding
"49,128",2,top_50_100,ordinary,ordinary
"49,138",12,top_5,top_5,outstanding
"49,141",1,top_50_100,ordinary,ordinary
"49,176",1,top_50_100,ordinary,ordinary
"49,194",1,top_50_100,ordinary,ordinary
