"id_user","count_she_he_usage","category","class","class2"
"26,162",2,top_5,top_5,outstanding
"26,185",3,top_5,top_5,outstanding
"26,195",1,top_10_15,top_10_15,outstanding
"26,281",1,top_50_100,ordinary,ordinary
"26,292",2,top_50_100,ordinary,ordinary
"26,401",1,top_20_25,ordinary,ordinary
"26,429",1,top_50_100,ordinary,ordinary
"26,470",1,top_5_10,top_5_10,outstanding
"26,501",3,top_15_20,ordinary,ordinary
"26,588",5,top_50_100,ordinary,ordinary
"26,604",2,top_5_10,top_5_10,outstanding
"26,664",24,top_50_100,ordinary,ordinary
"26,692",1,top_50_100,ordinary,ordinary
"26,721",3,top_50_100,ordinary,ordinary
"26,731",12,top_50_100,ordinary,ordinary
"26,771",1,top_20_25,ordinary,ordinary
"26,944",5,top_10_15,top_10_15,outstanding
"26,953",2,top_5,top_5,outstanding
"26,996",2,top_30_35,ordinary,ordinary
"27,091",2,top_50_100,ordinary,ordinary
"27,183",1,top_50_100,ordinary,ordinary
"27,316",5,top_50_100,ordinary,ordinary
"27,339",1,top_50_100,ordinary,ordinary
"27,350",3,top_50_100,ordinary,ordinary
"27,385",2,top_50_100,ordinary,ordinary
"27,469",7,top_25_30,ordinary,ordinary
"27,504",2,top_50_100,ordinary,ordinary
"27,519",3,top_5_10,top_5_10,outstanding
"27,546",1,top_50_100,ordinary,ordinary
"27,547",4,top_50_100,ordinary,ordinary
"27,595",1,top_50_100,ordinary,ordinary
"27,597",5,top_50_100,ordinary,ordinary
"27,607",1,top_30_35,ordinary,ordinary
"27,673",1,top_50_100,ordinary,ordinary
"27,702",1,top_35_40,ordinary,ordinary
"27,721",28,top_50_100,ordinary,ordinary
"27,779",1,top_20_25,ordinary,ordinary
"27,794",6,top_50_100,ordinary,ordinary
"27,834",1,top_50_100,ordinary,ordinary
"27,871",1,top_50_100,ordinary,ordinary
"27,964",3,top_35_40,ordinary,ordinary
"28,101",1,top_50_100,ordinary,ordinary
"28,120",1,top_50_100,ordinary,ordinary
"28,129",1,top_50_100,ordinary,ordinary
"28,134",5,top_5,top_5,outstanding
"28,168",1,top_50_100,ordinary,ordinary
"28,214",1,top_35_40,ordinary,ordinary
"28,250",1,top_50_100,ordinary,ordinary
"28,416",1,top_50_100,ordinary,ordinary
"28,448",2,top_50_100,ordinary,ordinary
"28,516",1,top_50_100,ordinary,ordinary
"28,633",1,top_50_100,ordinary,ordinary
"28,725",3,top_50_100,ordinary,ordinary
"28,728",14,top_50_100,ordinary,ordinary
"28,772",2,top_50_100,ordinary,ordinary
"28,788",1,top_50_100,ordinary,ordinary
