category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_10_15  ;  ordinary ; invalid ;  0.49 ;  0.51  
 top_5  ;  ordinary ; < 0.01 ;  0.48 ;  0.52  
 top_5_10  ;  ordinary ;  0.0284 ;  0.49 ;  0.51  
 top_5  ;  top_10_15 ; invalid ;  0.49 ;  0.51  
 top_5_10  ;  top_10_15 ; invalid ;  0.49 ;  0.51  
 top_5_10  ;  top_5 ; invalid ;  0.51 ;  0.49  

