"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"7,107","7,608.4601087851",0.2758069292,0.4666666687,1,6,top_5_10,outstanding
"12,156","1,646.5431357321",0.3290003532,0.3160173297,7,17,top_5_10,outstanding
"23,777",0,0.2780065652,0.0238095243,0,7,top_5_10,outstanding
"8,584","22,331.5832268048",0.2912263148,0.1619047672,10,7,top_5_10,outstanding
"21,318","9,023.1583911865",0.3027171087,0.25,6,7,top_5_10,outstanding
"17,779","20,267.2019201685",0.3024222352,0.130541876,23,11,top_5_10,outstanding
"25,585","2,420.2925502783",0.3073927393,0.4175824225,5,13,top_5_10,outstanding
"13,815","3,566.3045587708",0.3089425501,0.2222222239,9,11,top_5_10,outstanding
"16,866",0,0.3453925421,0.2279202342,0,27,top_5_10,outstanding
"14,897","4,224.6283509675",0.3059387728,0.1168091148,23,6,top_5_10,outstanding
"6,859",33.3129879977,0.2449902698,0,2,2,top_5_10,outstanding
"17,035","26,824.9125313394",0.3360756296,0.2204433531,7,24,top_5_10,outstanding
"12,180","8,529.5418400299",0.3070077131,0.2416666597,7,12,top_5_10,outstanding
"16,408","16,437.700133792",0.319169351,0.2727272809,5,21,top_5_10,outstanding
"12,240",34.5222936167,0.2657801621,0,2,1,top_5_10,outstanding
"10,733","1,106.0074535168",0.3034667014,0.3818181753,5,7,top_5_10,outstanding
"6,810",724.7186799763,0.3015410515,0.3525640965,7,8,top_5_10,outstanding
"8,280","16,428.8937047028",0.3195197256,0.4779411852,4,15,top_5_10,outstanding
"11,496","61,043.5397635127",0.3590040086,0.3182346225,15,32,top_5_10,outstanding
"28,128","5,278.9413098171",0.2895604054,0.1666666716,16,6,top_5_10,outstanding
"10,824","15,333.9289714708",0.3116092339,0.1527777761,1,9,top_5_10,outstanding
"17,767","16,428.4669442497",0.3292096706,0.2761904895,2,14,top_5_10,outstanding
"18,937","37,008.8050800596",0.3303305433,0.1458773762,21,28,top_5_10,outstanding
"8,015","1,100.1076483451",0.3094146568,0.2361111045,5,6,top_5_10,outstanding
"8,089","12,508.9891059118",0.3186670316,0.3529411852,6,15,top_5_10,outstanding
"22,902","13,395.9337836056",0.3192568726,0.2791666687,6,12,top_5_10,outstanding
"11,507","16,104.8443652641",0.3239877557,0.2095238119,4,12,top_5_10,outstanding
"14,214","5,174.5813039533",0.2806943524,0.0647435933,37,5,top_5_10,outstanding
"15,201","15,455.5904415557",0.3091065976,0.3106060624,2,12,top_5_10,outstanding
"22,600","4,734.3191306046",0.2317953312,0.1181818172,10,2,top_5_10,outstanding
"7,503","22,270.1441646562",0.3028155277,0.1428571492,2,8,top_5_10,outstanding
"8,311",666.5800279671,0.3263947295,0.3846153915,2,13,top_5_10,outstanding
"14,696",204.2765765657,0.2884127082,0.1527777761,7,2,top_5_10,outstanding
"7,261",36.5076881122,0.2994470165,0.553571403,4,7,top_5_10,outstanding
"6,735",7.4391610711,0.2494242408,0,2,1,top_5_10,outstanding
"7,959",33.2693431594,0.314619646,0.6666666865,2,6,top_5_10,outstanding
"15,790",0,0.3007878083,0.2678571343,1,8,top_5_10,outstanding
"16,440",556.1492636787,0.3178405678,0.4090909064,3,11,top_5_10,outstanding
"17,353","1,195.525882506",0.2929299283,0.0357142873,6,2,top_5_10,outstanding
"7,225",20.0369442156,0.2957388709,0.25,1,8,top_5_10,outstanding
"17,529","7,586.614532005",0.2968321754,0.3000000119,2,6,top_5_10,outstanding
"7,754",594.4539668433,0.2918834221,0.1818181872,5,7,top_5_10,outstanding
"16,783",842.9797855103,0.308043392,0.349999994,1,5,top_5_10,outstanding
