category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_10_15  ;  ordinary ;  0.0149 ;  0.58 ;  0.42  
 top_5  ;  ordinary ; < 0.01 ;  0.86 ;  0.14  
 top_5_10  ;  ordinary ; < 0.01 ;  0.67 ;  0.33  
 top_5  ;  top_10_15 ; < 0.01 ;  0.81 ;  0.19  
 top_5_10  ;  top_10_15 ; invalid ;  0.58 ;  0.42  
 top_5_10  ;  top_5 ; < 0.01 ;  0.24 ;  0.76  

