"display_name","count","id_user","category","class","class2"
VassiaAlk,1,"14,079",top_50_100,ordinary,ordinary
user34748,1,"22,740",top_50_100,ordinary,ordinary
JonHerman,1,"12,180",top_5_10,top_5_10,outstanding
cumulonimbus,1,"21,586",top_50_100,ordinary,ordinary
ban,1,"26,997",top_50_100,ordinary,ordinary
Santropedro,1,"21,692",top_5_10,top_5_10,outstanding
Dims,1,"10,627",top_5_10,top_5_10,outstanding
mgvaldes,1,"25,124",top_50_100,ordinary,ordinary
Gstestso,1,"16,866",top_5_10,top_5_10,outstanding
ansarob,1,"13,039",top_5_10,top_5_10,outstanding
treehugger,1,"28,336",top_50_100,ordinary,ordinary
ShadowRealm,1,"13,618",top_50_100,ordinary,ordinary
user3351523,1,"20,308",top_50_100,ordinary,ordinary
pikk,1,"7,084",top_5_10,top_5_10,outstanding
Misha,1,"12,359",top_50_100,ordinary,ordinary
ecolover,1,"12,943",top_50_100,ordinary,ordinary
mxwsn,1,"27,143",top_5_10,top_5_10,outstanding
user30561,1,"9,921",top_5_10,top_5_10,outstanding
Canheguess,1,"19,233",top_50_100,ordinary,ordinary
Piesel,1,"9,763",top_50_100,ordinary,ordinary
Stockfisch,1,"8,708",top_50_100,ordinary,ordinary
user8184,1,"11,838",top_50_100,ordinary,ordinary
kenorb,1,"7,789",top_5_10,top_5_10,outstanding
Xylo,1,"10,203",top_50_100,ordinary,ordinary
The_Mad_Fish,1,"16,536",top_5_10,top_5_10,outstanding
JC11,1,"14,986",top_5_10,top_5_10,outstanding
OvoiDs,1,"17,170",top_50_100,ordinary,ordinary
Bird,1,"17,556",top_50_100,ordinary,ordinary
Theresa,1,"17,375",top_50_100,ordinary,ordinary
user30109,1,"25,905",top_50_100,ordinary,ordinary
Kyla,1,"14,538",top_50_100,ordinary,ordinary
user4058,1,"9,348",top_50_100,ordinary,ordinary
Confusedbyeverything,1,"28,607",top_50_100,ordinary,ordinary
RickardSjogren,1,"11,835",top_5_10,top_5_10,outstanding
mac01021,1,"7,975",top_50_100,ordinary,ordinary
Leck,1,"12,163",top_50_100,ordinary,ordinary
user16370,1,"15,998",top_50_100,ordinary,ordinary
Boar,1,"12,569",top_50_100,ordinary,ordinary
itsSLO,1,"10,679",top_50_100,ordinary,ordinary
WhoElse,1,"10,701",top_50_100,ordinary,ordinary
Trailblazer,1,"17,581",top_50_100,ordinary,ordinary
Crazy,1,"21,332",top_50_100,ordinary,ordinary
Aparajita,1,"13,775",top_50_100,ordinary,ordinary
ghgh,1,"21,553",top_50_100,ordinary,ordinary
Kathryn,1,"15,639",top_50_100,ordinary,ordinary
gemesyscanada,1,"27,141",top_50_100,ordinary,ordinary
leetom,1,"13,671",top_50_100,ordinary,ordinary
GH05T,1,"23,980",top_50_100,ordinary,ordinary
Deepakms,1,"24,509",top_50_100,ordinary,ordinary
Happy,1,"18,635",top_50_100,ordinary,ordinary
Daan,1,"12,147",top_5_10,top_5_10,outstanding
