"display_name","count","id_user","category","class","class2"
yeoman,1,"46,591",top_10_15,top_10_15,outstanding
lurscher,1,"29,352",top_10_15,top_10_15,outstanding
Marjeta,1,"30,138",top_10_15,top_10_15,outstanding
Demi,1,"31,857",top_10_15,top_10_15,outstanding
Dr_bitz,1,"29,014",top_10_15,top_10_15,outstanding
CryptoQuick,1,"29,267",top_10_15,top_10_15,outstanding
Just_a_fool,1,"32,220",top_10_15,top_10_15,outstanding
oveoyas,1,"30,352",top_5,top_5,outstanding
Tomi,1,"47,324",top_10_15,top_10_15,outstanding
hb20007,1,"44,175",top_10_15,top_10_15,outstanding
kartik,1,"53,881",no_participation,ordinary,ordinary
Lahav,1,"39,336",top_10_15,top_10_15,outstanding
Checkmate,1,"44,373",top_10_15,top_10_15,outstanding
Artemisia,1,"31,374",top_10_15,top_10_15,outstanding
equant,1,"30,375",top_10_15,top_10_15,outstanding
hongchaniyi,1,"37,631",top_10_15,top_10_15,outstanding
user103218,1,"43,941",top_10_15,top_10_15,outstanding
user58953,1,"33,899",top_10_15,top_10_15,outstanding
ahorn,1,"34,446",top_10_15,top_10_15,outstanding
Sikander,1,"39,989",top_10_15,top_10_15,outstanding
Marzipanherz,1,"40,119",top_10_15,top_10_15,outstanding
Everett,1,"29,400",top_10_15,top_10_15,outstanding
Xenopathic,1,"33,678",top_10_15,top_10_15,outstanding
Muze,1,"49,543",top_10_15,top_10_15,outstanding
roymend,1,"33,217",top_10_15,top_10_15,outstanding
MrLuke370,1,"40,351",top_10_15,top_10_15,outstanding
mawcsco,1,"30,864",top_10_15,top_10_15,outstanding
Soviero,1,"33,004",top_15_20,ordinary,ordinary
davcs86,1,"33,194",top_15_20,ordinary,ordinary
Razorlance,1,"37,836",top_15_20,ordinary,ordinary
nightcrawler,1,"33,424",top_15_20,ordinary,ordinary
almosnow,1,"38,904",top_15_20,ordinary,ordinary
