"display_name","count","id_user","category","class","class2"
user282856,1,"39,533",top_35_40,ordinary,ordinary
TheStarVoyager,1,"32,428",top_35_40,ordinary,ordinary
shaima,1,"33,670",top_35_40,ordinary,ordinary
neOh,1,"30,055",top_35_40,ordinary,ordinary
ashi,1,"46,112",top_35_40,ordinary,ordinary
Musicpulpite,1,"34,219",top_35_40,ordinary,ordinary
gamma1,1,"53,519",top_5,top_5,outstanding
bluepawel,1,"29,390",top_35_40,ordinary,ordinary
Phanz,1,"42,115",top_35_40,ordinary,ordinary
Crimsonvale,1,"44,427",top_35_40,ordinary,ordinary
iamnotmaynard,1,"34,902",top_35_40,ordinary,ordinary
mmh,1,"35,013",top_35_40,ordinary,ordinary
fumifugium,1,"29,953",top_35_40,ordinary,ordinary
Molec,1,"39,772",top_35_40,ordinary,ordinary
"5antoro",1,"46,704",top_35_40,ordinary,ordinary
user1155386,1,"40,847",top_35_40,ordinary,ordinary
gluco,1,"42,722",top_35_40,ordinary,ordinary
user13006,1,"35,260",top_35_40,ordinary,ordinary
user15831,1,"36,549",top_35_40,ordinary,ordinary
Srathi00,1,"41,539",top_35_40,ordinary,ordinary
unrnick,1,"46,788",top_35_40,ordinary,ordinary
user2986288,1,"34,223",top_35_40,ordinary,ordinary
kimdazar,1,"44,904",top_35_40,ordinary,ordinary
Sork,1,"37,610",top_35_40,ordinary,ordinary
per,1,"35,941",top_35_40,ordinary,ordinary
user116160,1,"32,516",top_35_40,ordinary,ordinary
khajiit,1,"49,461",top_35_40,ordinary,ordinary
Salda,1,"29,426",top_35_40,ordinary,ordinary
user1928162,1,"32,110",top_35_40,ordinary,ordinary
user21891,1,"39,322",top_35_40,ordinary,ordinary
Pao,1,"31,283",top_35_40,ordinary,ordinary
ToxicTechnetium,1,"32,464",top_35_40,ordinary,ordinary
Suchal,1,"32,771",top_35_40,ordinary,ordinary
user38876,1,"48,985",top_35_40,ordinary,ordinary
Learm,1,"47,419",top_35_40,ordinary,ordinary
Eloise,1,"46,119",top_5,top_5,outstanding
Jonathanjaya,1,"34,641",top_35_40,ordinary,ordinary
VinegrMan,1,"35,598",top_35_40,ordinary,ordinary
Shahad,1,"41,454",top_35_40,ordinary,ordinary
cryptex,1,"35,691",top_35_40,ordinary,ordinary
Zardan,1,"36,341",top_35_40,ordinary,ordinary
samsung,1,"54,940",top_35_40,ordinary,ordinary
truetoall,1,"55,864",top_40_45,ordinary,ordinary
Dervis,1,"55,332",top_40_45,ordinary,ordinary
user43496,1,"53,493",top_40_45,ordinary,ordinary
thinker,1,"29,404",top_40_45,ordinary,ordinary
Kaylyn,1,"33,792",top_40_45,ordinary,ordinary
Marange,1,"44,018",top_40_45,ordinary,ordinary
user27186,1,"41,834",top_40_45,ordinary,ordinary
chemistryyo,1,"35,864",top_40_45,ordinary,ordinary
user3256725,1,"38,617",top_40_45,ordinary,ordinary
user73157,1,"36,362",top_40_45,ordinary,ordinary
logicallyabsurd,1,"46,100",top_40_45,ordinary,ordinary
user3141208,1,"51,538",top_40_45,ordinary,ordinary
pwghost,1,"41,224",top_40_45,ordinary,ordinary
BJH,1,"51,048",top_40_45,ordinary,ordinary
cwagen,1,"37,555",top_40_45,ordinary,ordinary
ChemNomad,1,"39,923",top_40_45,ordinary,ordinary
Cheapstrike,1,"45,039",top_40_45,ordinary,ordinary
Matej,1,"34,272",top_40_45,ordinary,ordinary
chilliBeanDream,1,"42,753",top_40_45,ordinary,ordinary
user136782,1,"49,676",top_40_45,ordinary,ordinary
user28625,1,"42,652",top_40_45,ordinary,ordinary
user2789433,1,"31,991",top_40_45,ordinary,ordinary
pronoob,1,"49,989",top_40_45,ordinary,ordinary
user16976,1,"37,377",top_40_45,ordinary,ordinary
Jantomedes,1,"31,052",top_40_45,ordinary,ordinary
sonder,1,"31,196",top_40_45,ordinary,ordinary
bramhaag,1,"42,903",top_40_45,ordinary,ordinary
Tintanjarafe,1,"34,995",top_40_45,ordinary,ordinary
NFA,1,"52,742",top_40_45,ordinary,ordinary
Calikin,1,"29,054",top_40_45,ordinary,ordinary
rumguff,1,"39,381",top_40_45,ordinary,ordinary
ClaraMarie,1,"52,429",top_40_45,ordinary,ordinary
AVIE,1,"41,001",top_40_45,ordinary,ordinary
sean,1,"38,536",top_45_50,ordinary,ordinary
xxx,1,"43,217",top_45_50,ordinary,ordinary
user16146,1,"36,765",top_45_50,ordinary,ordinary
LM26,1,"53,824",top_45_50,ordinary,ordinary
Bayan,1,"51,089",top_45_50,ordinary,ordinary
Tharindu,1,"30,895",top_45_50,ordinary,ordinary
mystreet123,1,"43,362",top_45_50,ordinary,ordinary
Halo,1,"54,502",top_45_50,ordinary,ordinary
