"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"12,251",0.6931471806,0,0,0,4,ordinary,ordinary
"12,252",0,0,0,1,0,ordinary,ordinary
"12,253",2.1219163009,0,8,2,4,top_5_10,outstanding
"12,254",0,1,0,0,0,ordinary,ordinary
"12,255",0.6931471806,0,2,0,0,ordinary,ordinary
"12,256",0,3,0,3,0,ordinary,ordinary
"12,259",0,0,1,1,0,top_10_15,outstanding
"12,260",0.6931471806,0,0,0,4,ordinary,ordinary
"12,261",0.6931471806,1,1,2,0,ordinary,ordinary
"12,263",0,3,0,0,3,ordinary,ordinary
"12,264",0.6931471806,0,1,2,1,ordinary,ordinary
"12,266",1.3296613489,6,18,12,0,ordinary,ordinary
"12,267",0.6931471806,2,0,1,0,ordinary,ordinary
"12,269",8.2044177946,26,25,32,46,top_5_10,outstanding
"12,271",0.6931471806,10,0,0,0,ordinary,ordinary
"12,273",0,1,0,1,1,ordinary,ordinary
"12,274",0,2,0,2,0,ordinary,ordinary
"12,277",0.6931471806,1,2,0,0,ordinary,ordinary
"12,278",1.2730283366,6,6,0,0,ordinary,ordinary
"12,279",0,2,0,2,0,ordinary,ordinary
"12,282",0.6931471806,0,1,2,1,ordinary,ordinary
"12,285",1.7917594692,0,2,4,3,ordinary,ordinary
"12,286",2.1535324567,3,1,5,0,ordinary,ordinary
"12,288",1.0986122887,0,0,0,3,ordinary,ordinary
"12,289",2.0794415417,4,0,0,4,ordinary,ordinary
"12,290",0.6931471806,1,0,2,0,ordinary,ordinary
"12,294",0,0,4,4,4,ordinary,ordinary
"12,295",0.6931471806,0,2,0,1,ordinary,ordinary
"12,296",0,0,0,0,1,ordinary,ordinary
"12,300",0.6931471806,0,2,0,0,top_10_15,outstanding
"12,301",0.6931471806,2,0,0,0,ordinary,ordinary
"12,304",0.6931471806,0,1,2,0,ordinary,ordinary
"12,306",0,1,0,0,0,ordinary,ordinary
"12,307",0,1,1,0,0,ordinary,ordinary
"12,311",0,1,0,0,0,ordinary,ordinary
"12,315",1.054920168,2,0,5,0,ordinary,ordinary
"12,316",1.2554823252,0,0,1,8,ordinary,ordinary
"12,319",0,0,0,1,1,ordinary,ordinary
"12,326",0.6931471806,0,4,0,0,ordinary,ordinary
"12,330",0.6931471806,2,0,0,0,ordinary,ordinary
"12,331",5.9614077822,4,14,12,13,top_5_10,outstanding
"12,332",0,0,1,0,1,top_5_10,outstanding
"12,334",0,3,0,3,0,ordinary,ordinary
"12,335",0,0,1,0,1,ordinary,ordinary
"12,337",0.6931471806,0,0,1,2,ordinary,ordinary
"12,338",0,0,1,1,0,ordinary,ordinary
"12,339",0,1,0,1,0,ordinary,ordinary
"12,340",0.6931471806,0,0,1,2,ordinary,ordinary
"12,341",1.2730283366,0,3,3,2,ordinary,ordinary
"12,342",0,0,0,0,1,ordinary,ordinary
"12,343",1.1935496041,10,10,11,8,ordinary,ordinary
"12,345",0,0,0,0,3,ordinary,ordinary
"12,348",0,1,1,1,0,ordinary,ordinary
"12,352",7.5652653311,42,56,79,57,top_5,outstanding
"12,353",0,1,1,1,0,ordinary,ordinary
"12,357",9.4035932807,29,23,48,55,top_5,outstanding
"12,358",0,1,0,1,0,ordinary,ordinary
"12,359",0,0,3,3,3,ordinary,ordinary
"12,360",0,1,1,0,1,ordinary,ordinary
"12,362",0,0,0,1,0,ordinary,ordinary
"12,363",0,1,1,1,0,ordinary,ordinary
"12,364",1.6762349391,3,1,1,4,top_10_15,outstanding
"12,366",0,0,1,1,0,ordinary,ordinary
"12,367",0,2,2,0,0,ordinary,ordinary
"12,368",0,0,0,1,1,ordinary,ordinary
"12,370",0,0,0,2,2,ordinary,ordinary
"12,373",0,2,0,0,2,ordinary,ordinary
"12,374",0,0,0,0,4,top_5_10,outstanding
"12,376",4.0776696709,14,6,18,5,ordinary,ordinary
"12,377",6.6703151272,200,157,67,155,top_5,outstanding
"12,380",4.2780545576,2,4,5,8,top_5,outstanding
"12,385",1.9356005055,2,2,1,6,top_10_15,outstanding
"12,386",0.6931471806,0,0,2,1,ordinary,ordinary
"12,388",0.6931471806,0,0,4,2,ordinary,ordinary
"12,389",0.6931471806,0,0,6,3,top_10_15,outstanding
"12,390",2.0903964726,3,1,7,6,ordinary,ordinary
"12,392",1.3908113722,1,0,18,9,top_5,outstanding
"12,395",0.6931471806,0,0,2,2,ordinary,ordinary
"12,398",0.6931471806,0,0,2,1,ordinary,ordinary
"12,404",3.8214607357,6,0,11,8,ordinary,ordinary
"12,405",0.6365141683,2,3,2,3,ordinary,ordinary
"12,408",3.3833040758,6,1,4,5,ordinary,ordinary
"12,411",1.6407566413,1,1,7,3,ordinary,ordinary
"12,415",0.6931471806,0,0,4,2,ordinary,ordinary
"12,416",0.6931471806,0,0,6,3,ordinary,ordinary
"12,420",0.6931471806,2,0,0,1,ordinary,ordinary
"12,421",0,0,1,1,0,ordinary,ordinary
"12,422",0.6931471806,0,0,2,1,ordinary,ordinary
"12,424",0.6931471806,0,0,16,4,ordinary,ordinary
"12,426",0,0,0,2,0,ordinary,ordinary
"12,429",0.6931471806,4,0,8,0,ordinary,ordinary
"12,437",0,0,13,0,0,ordinary,ordinary
"12,441",0.6931471806,0,2,0,4,ordinary,ordinary
"12,444",1.3296613489,0,1,6,2,ordinary,ordinary
"12,446",0,1,0,1,1,top_10_15,outstanding
"12,450",3.0554139011,8,1,11,6,top_5_10,outstanding
"12,451",1.0986122887,0,0,3,0,ordinary,ordinary
"12,453",1.0397207708,4,1,0,1,ordinary,ordinary
