"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"42,612",0,0,0,0,1,ordinary,ordinary
"42,618",0,1,0,1,0,ordinary,ordinary
"42,619",0,0,0,2,0,ordinary,ordinary
"42,620",0.6931471806,0,1,2,0,ordinary,ordinary
"42,621",7.4604963558,18,14,18,6,top_5,outstanding
"42,624",0.6931471806,2,0,1,0,ordinary,ordinary
"42,627",0.6931471806,0,0,4,0,ordinary,ordinary
"42,633",0,0,0,1,1,ordinary,ordinary
"42,636",0,5,0,5,0,ordinary,ordinary
"42,639",0,0,0,1,0,ordinary,ordinary
"42,642",0.6931471806,2,0,0,0,ordinary,ordinary
"42,643",0,2,0,0,0,ordinary,ordinary
"42,645",0,1,1,0,0,ordinary,ordinary
"42,646",0,1,1,1,0,ordinary,ordinary
"42,647",0,0,0,1,0,ordinary,ordinary
"42,648",0,2,0,0,0,ordinary,ordinary
"42,652",4.180693767,4,11,25,8,ordinary,ordinary
"42,654",1.093024423,21,17,7,3,ordinary,ordinary
"42,655",2.0621470239,12,0,27,5,top_5_10,outstanding
"42,657",1.0986122887,0,0,12,0,ordinary,ordinary
"42,658",0,0,1,1,0,ordinary,ordinary
"42,659",0,1,0,1,0,ordinary,ordinary
"42,662",0,0,2,2,0,ordinary,ordinary
"42,663",0,1,0,0,0,ordinary,ordinary
"42,666",0.6931471806,2,1,0,0,ordinary,ordinary
"42,668",0.6931471806,2,0,1,0,ordinary,ordinary
"42,669",0.6365141683,0,1,3,0,ordinary,ordinary
"42,670",0.6931471806,1,0,2,1,top_10_15,outstanding
"42,671",1.727931835,1,5,5,2,ordinary,ordinary
"42,672",0,1,0,1,0,ordinary,ordinary
"42,677",0.8606775272,12,0,7,0,ordinary,ordinary
"42,679",1.6914343363,3,0,5,1,ordinary,ordinary
"42,682",0,0,0,0,1,ordinary,ordinary
"42,683",0.6931471806,4,0,0,0,ordinary,ordinary
"42,685",0,0,0,5,0,ordinary,ordinary
"42,687",0,2,0,2,2,ordinary,ordinary
"42,690",0,0,0,0,1,ordinary,ordinary
"42,692",0,1,0,0,0,ordinary,ordinary
"42,696",0.6931471806,4,0,2,0,ordinary,ordinary
"42,697",0,0,2,2,0,ordinary,ordinary
"42,699",0.6931471806,2,0,1,0,ordinary,ordinary
"42,702",0,1,0,1,0,ordinary,ordinary
"42,704",0,1,0,1,0,ordinary,ordinary
"42,705",0,1,1,0,0,ordinary,ordinary
"42,707",0.6931471806,0,1,2,0,ordinary,ordinary
"42,708",0,0,0,1,0,ordinary,ordinary
"42,709",0,1,0,1,0,ordinary,ordinary
"42,711",0,0,1,1,0,ordinary,ordinary
"42,713",0.6931471806,1,0,2,0,ordinary,ordinary
"42,714",0,0,1,0,0,ordinary,ordinary
"42,715",0.6931471806,0,1,2,0,ordinary,ordinary
"42,718",1.3862943611,6,6,3,3,ordinary,ordinary
"42,719",0,1,0,0,0,ordinary,ordinary
"42,720",0,1,0,1,0,ordinary,ordinary
"42,721",0,0,0,1,0,ordinary,ordinary
"42,722",1.2353468116,5,1,4,3,ordinary,ordinary
"42,724",0,1,0,1,0,ordinary,ordinary
"42,725",0,0,0,1,0,ordinary,ordinary
"42,726",0,4,4,4,0,ordinary,ordinary
"42,727",0,0,1,0,1,ordinary,ordinary
"42,728",1.8353634812,4,3,3,1,ordinary,ordinary
"42,730",1.0986122887,0,0,3,1,ordinary,ordinary
"42,732",0.6931471806,0,0,4,2,ordinary,ordinary
"42,737",0,3,3,0,0,ordinary,ordinary
"42,739",0,6,0,6,0,ordinary,ordinary
"42,741",0,0,0,1,1,ordinary,ordinary
"42,744",0,2,2,0,0,ordinary,ordinary
"42,747",0.6931471806,0,0,2,1,ordinary,ordinary
"42,753",0,0,0,2,0,ordinary,ordinary
"42,754",0,1,0,1,0,ordinary,ordinary
"42,755",0.6829081047,0,3,0,7,ordinary,ordinary
"42,759",0,0,1,1,0,ordinary,ordinary
"42,760",0,0,2,2,0,ordinary,ordinary
"42,761",0,0,0,3,3,ordinary,ordinary
"42,762",1.6914343363,3,0,3,5,ordinary,ordinary
"42,766",0.6931471806,2,0,0,0,ordinary,ordinary
"42,769",0.6931471806,0,0,2,1,ordinary,ordinary
"42,770",0,1,0,0,1,ordinary,ordinary
"42,775",0.6108643021,10,4,3,0,ordinary,ordinary
"42,776",0,2,0,0,0,ordinary,ordinary
"42,778",0,1,0,0,0,ordinary,ordinary
"42,780",0,1,1,0,0,ordinary,ordinary
"42,783",0,3,0,1,1,ordinary,ordinary
"42,785",0,3,0,3,0,ordinary,ordinary
"42,786",0,0,0,1,0,ordinary,ordinary
"42,787",0,0,0,1,0,ordinary,ordinary
"42,789",1.9683922413,9,10,11,0,ordinary,ordinary
"42,790",0.6931471806,2,0,4,0,ordinary,ordinary
"42,791",1.8927425379,16,5,12,0,top_5_10,outstanding
"42,792",0,0,2,0,0,ordinary,ordinary
"42,797",1.0986122887,0,0,3,0,ordinary,ordinary
"42,798",0,1,1,0,0,ordinary,ordinary
"42,800",0.6931471806,6,0,3,0,ordinary,ordinary
"42,802",2.8928894493,6,0,5,2,ordinary,ordinary
"42,804",1.3296613489,0,4,12,0,ordinary,ordinary
"42,805",0.6931471806,0,0,0,2,ordinary,ordinary
"42,806",0,2,2,2,0,ordinary,ordinary
"42,807",2.0794415417,2,4,0,2,top_10_15,outstanding
"42,811",0,0,0,1,0,ordinary,ordinary
"42,813",2.5993019271,2,1,8,2,ordinary,ordinary
"42,814",0.3488320958,9,8,0,1,ordinary,ordinary
"42,817",1.3296613489,3,4,2,2,ordinary,ordinary
"42,818",0,0,0,1,1,ordinary,ordinary
"42,822",2.3319544275,5,2,7,0,ordinary,ordinary
"42,823",1.054920168,5,1,1,2,ordinary,ordinary
"42,825",0,1,1,0,0,ordinary,ordinary
"42,826",0,2,0,2,0,ordinary,ordinary
"42,828",0,1,1,0,0,ordinary,ordinary
"42,829",1.9345915747,8,1,9,0,ordinary,ordinary
"42,830",0,0,0,1,1,ordinary,ordinary
"42,831",0,1,1,0,0,ordinary,ordinary
"42,832",0,0,1,1,0,ordinary,ordinary
"42,833",2.1650059692,30,6,5,6,ordinary,ordinary
"42,834",0,0,0,1,0,ordinary,ordinary
"42,835",0,0,0,0,1,ordinary,ordinary
"42,836",0,0,1,1,0,ordinary,ordinary
"42,837",1.0986122887,0,0,3,0,ordinary,ordinary
"42,839",0.7356219398,6,8,3,0,ordinary,ordinary
"42,840",0,1,0,1,1,ordinary,ordinary
"42,842",0,1,0,0,0,ordinary,ordinary
"42,844",0,0,1,1,0,ordinary,ordinary
"42,845",0,1,0,1,0,ordinary,ordinary
"42,846",0.6931471806,2,1,0,0,ordinary,ordinary
"42,847",0.6931471806,1,0,2,0,ordinary,ordinary
"42,849",0.6931471806,4,0,0,0,ordinary,ordinary
"42,850",0.6365141683,3,1,1,0,ordinary,ordinary
"42,851",0.6365141683,0,0,3,0,ordinary,ordinary
"42,853",0,1,1,1,0,ordinary,ordinary
"42,856",2.740426546,21,3,5,10,ordinary,ordinary
"42,857",1.1246702892,4,0,4,1,ordinary,ordinary
"42,858",0.6931471806,3,0,6,0,ordinary,ordinary
"42,861",1.0397207708,12,0,3,0,ordinary,ordinary
"42,863",0,0,0,1,1,ordinary,ordinary
"42,864",0,0,0,0,1,ordinary,ordinary
"42,865",0,1,0,1,0,ordinary,ordinary
"42,866",0.6931471806,4,5,0,0,ordinary,ordinary
"42,868",0.6931471806,0,0,4,0,ordinary,ordinary
"42,869",0,0,0,1,0,ordinary,ordinary
"42,871",0.6931471806,1,0,2,0,ordinary,ordinary
"42,872",0.6931471806,0,0,2,1,ordinary,ordinary
"42,873",0.6931471806,0,1,2,0,ordinary,ordinary
"42,874",0,0,1,0,0,ordinary,ordinary
"42,877",1.7465821794,7,0,5,0,ordinary,ordinary
"42,878",1.3296613489,6,2,4,0,ordinary,ordinary
"42,879",3.9914144279,13,4,11,1,ordinary,ordinary
"42,882",0,0,1,0,1,ordinary,ordinary
"42,885",0.6931471806,4,0,2,0,ordinary,ordinary
"42,888",0.6931471806,0,1,0,2,ordinary,ordinary
"42,890",0,1,0,1,0,ordinary,ordinary
"42,892",0,0,0,1,1,ordinary,ordinary
"42,898",0,9,9,0,0,ordinary,ordinary
"42,900",0,1,1,0,0,ordinary,ordinary
"42,903",0,0,0,3,3,ordinary,ordinary
"42,908",0.5623351446,4,1,0,1,ordinary,ordinary
"42,909",0.6931471806,0,0,2,1,ordinary,ordinary
"42,911",0,2,0,2,2,ordinary,ordinary
"42,914",1.0397207708,4,0,2,0,ordinary,ordinary
"42,915",1.5065950881,3,4,15,0,ordinary,ordinary
"42,916",0.6931471806,0,0,4,0,ordinary,ordinary
"42,922",0,1,0,0,0,ordinary,ordinary
"42,923",0,1,0,0,1,ordinary,ordinary
"42,925",0,1,1,1,0,ordinary,ordinary
"42,926",0.6931471806,0,0,0,2,ordinary,ordinary
"42,929",0.6931471806,1,0,0,2,ordinary,ordinary
"42,933",0,1,0,1,1,ordinary,ordinary
"42,939",0,0,0,3,0,ordinary,ordinary
"42,940",1.7437650519,7,4,9,2,ordinary,ordinary
"42,941",0,0,0,0,1,ordinary,ordinary
"42,942",0.6931471806,2,1,0,0,ordinary,ordinary
"42,943",0.6931471806,4,2,0,0,ordinary,ordinary
"42,949",0,2,0,2,2,ordinary,ordinary
"42,950",0,0,0,4,0,ordinary,ordinary
"42,952",0,1,1,0,0,ordinary,ordinary
"42,953",0.6931471806,0,0,4,2,ordinary,ordinary
"42,954",0,1,0,1,0,ordinary,ordinary
"42,957",0.6931471806,1,0,2,0,ordinary,ordinary
"42,958",1.0986122887,0,0,3,0,ordinary,ordinary
"42,959",2.426015132,0,4,4,0,ordinary,ordinary
"42,961",0,1,0,1,0,ordinary,ordinary
"42,964",0.6931471806,2,0,0,0,ordinary,ordinary
"42,966",0,0,1,0,0,ordinary,ordinary
"42,967",0.6931471806,0,1,2,0,ordinary,ordinary
"42,968",0.6931471806,0,0,2,1,ordinary,ordinary
"42,972",0,0,0,3,0,ordinary,ordinary
"42,973",0.6931471806,0,0,1,2,ordinary,ordinary
"42,976",0,1,0,0,0,ordinary,ordinary
"42,977",0,0,1,1,1,ordinary,ordinary
"42,978",0,2,0,2,0,ordinary,ordinary
"42,983",0,1,0,1,0,ordinary,ordinary
"42,989",0,0,0,1,0,ordinary,ordinary
"42,990",0.6931471806,0,1,2,0,ordinary,ordinary
"42,991",0.6931471806,4,0,0,0,ordinary,ordinary
"42,992",6.3324623267,14,26,66,16,ordinary,ordinary
"42,993",0,3,0,0,0,ordinary,ordinary
"42,994",0.6931471806,0,10,5,0,ordinary,ordinary
"42,995",0,2,0,0,1,ordinary,ordinary
"42,996",0.8037421073,0,12,17,0,ordinary,ordinary
"42,997",0.6931471806,4,0,0,0,ordinary,ordinary
"42,999",1.1246702892,4,1,0,4,ordinary,ordinary
"43,003",4.4593833974,13,20,8,8,ordinary,ordinary
"43,005",0,1,0,0,0,ordinary,ordinary
"43,007",1.0986122887,0,0,3,0,ordinary,ordinary
"43,009",0,1,1,1,0,ordinary,ordinary
"43,013",0,2,0,2,2,ordinary,ordinary
"43,016",0.6931471806,1,1,2,1,ordinary,ordinary
"43,017",0,1,0,1,0,ordinary,ordinary
"43,021",0,0,0,1,1,ordinary,ordinary
"43,023",0.6931471806,2,0,1,0,ordinary,ordinary
"43,026",3.6872400736,17,13,35,14,top_5_10,outstanding
