"id_user" ;"diff_min" ;"class" ;"class2"
28,924 ;18.3056666667 ;top_5 ;outstanding
40,604 ;62.6243333333 ;top_5 ;outstanding
33,690 ;2,780.1344 ;top_5 ;outstanding
35,529 ;10.1736166667 ;top_5 ;outstanding
35,666 ;72.6356666667 ;top_5 ;outstanding
32,417 ;24.3422166667 ;top_5 ;outstanding
40,544 ;2.2081666667 ;top_5 ;outstanding
29,975 ;18.4383333333 ;top_5 ;outstanding
29,100 ;9.4927833333 ;top_5 ;outstanding
49,335 ;22.1565 ;top_5 ;outstanding
30,441 ;10,039.6044333333 ;top_5 ;outstanding
32,478 ;47.8176166667 ;top_5 ;outstanding
37,194 ;0 ;top_5 ;outstanding
31,105 ;676.08145 ;top_5 ;outstanding
33,166 ;0 ;top_5 ;outstanding
36,088 ;570.5542666667 ;top_5 ;outstanding
31,847 ;0.78205 ;top_5 ;outstanding
44,035 ;68.2956666667 ;top_5 ;outstanding
51,712 ;0 ;top_5 ;outstanding
28,799 ;108.71355 ;top_5 ;outstanding
33,104 ;0 ;top_5 ;outstanding
32,567 ;18.4066166667 ;top_5 ;outstanding
34,675 ;0 ;top_5 ;outstanding
28,901 ;15.7456 ;top_5 ;outstanding
29,442 ;78.88655 ;top_5 ;outstanding
29,044 ;275.8405666667 ;top_5 ;outstanding
40,141 ;460,718.3676666666 ;top_5 ;outstanding
31,230 ;1,797.1801666667 ;top_5 ;outstanding
33,935 ;97.3589 ;top_5 ;outstanding
46,107 ;3.5452166667 ;top_5 ;outstanding
44,774 ;2,860.1041166667 ;top_5 ;outstanding
29,280 ;2,454,618.2559499997 ;top_5 ;outstanding
34,085 ;9.8040666667 ;top_5 ;outstanding
29,561 ;21,265.30805 ;top_5 ;outstanding
35,981 ;2.3290666667 ;top_5 ;outstanding
40,417 ;6.2049 ;top_5 ;outstanding
43,474 ;30.8877166667 ;top_5 ;outstanding
33,115 ;233,597.1623333333 ;top_5 ;outstanding
33,125 ;0.2526166667 ;top_5 ;outstanding
32,648 ;11.8718833333 ;top_5 ;outstanding
40,369 ;18,918.2147333333 ;top_5 ;outstanding
38,718 ;84.5662166667 ;top_5 ;outstanding
31,178 ;13,939.0831666667 ;top_5 ;outstanding
30,658 ;0.46955 ;top_5 ;outstanding
34,713 ;110.0298833333 ;top_5 ;outstanding
30,804 ;16.8383833333 ;top_5 ;outstanding
46,119 ;1.0391666667 ;top_5 ;outstanding
32,876 ;8.03705 ;top_5 ;outstanding
28,813 ;88,880.6552166667 ;top_5 ;outstanding
30,706 ;117.2528333333 ;top_5 ;outstanding
39,024 ;35,597.3183333333 ;top_5 ;outstanding
32,179 ;1,687.48995 ;top_5 ;outstanding
36,082 ;0 ;top_5 ;outstanding
49,251 ;5.6643833333 ;top_5 ;outstanding
44,487 ;11.9274 ;top_5 ;outstanding
36,614 ;10.8227166667 ;top_5 ;outstanding
44,841 ;19.6038833333 ;top_5 ;outstanding
30,269 ;10,243.0167333333 ;top_5 ;outstanding
32,842 ;7.1667666667 ;top_5 ;outstanding
33,872 ;0.6607833333 ;top_5 ;outstanding
31,928 ;5.0022333333 ;top_5 ;outstanding
31,854 ;659,474.5838333333 ;top_5 ;outstanding
29,824 ;36.3141166667 ;top_5 ;outstanding
36,381 ;2,760.3580666667 ;top_5 ;outstanding
44,728 ;1,788.7113333333 ;top_5 ;outstanding
29,587 ;14.8666166667 ;top_5 ;outstanding
28,831 ;2.6662666667 ;top_5 ;outstanding
31,020 ;48,577.9509333333 ;top_5 ;outstanding
36,018 ;40.8956666667 ;top_5 ;outstanding
28,908 ;149.30295 ;top_5 ;outstanding
46,287 ;14.18055 ;top_5 ;outstanding
31,797 ;197.3926166667 ;top_5 ;outstanding
44,664 ;13.4301166667 ;top_5 ;outstanding
35,429 ;1.5376666667 ;top_5 ;outstanding
29,261 ;427,391.6229 ;top_5 ;outstanding
46,468 ;50.5524333333 ;top_5 ;outstanding
30,616 ;16.7014333333 ;top_5 ;outstanding
44,513 ;2.1861166667 ;top_5 ;outstanding
34,579 ;18.2302166667 ;top_5 ;outstanding
55,719 ;3.7339 ;top_5 ;outstanding
29,347 ;0.40955 ;top_5 ;outstanding
30,092 ;4.1321666667 ;top_5 ;outstanding
33,145 ;4.5021666667 ;top_5 ;outstanding
29,712 ;8.7600666667 ;top_5 ;outstanding
35,901 ;1,471.1752833333 ;top_5 ;outstanding
35,976 ;18.3496166667 ;top_5 ;outstanding
34,990 ;0.3944333333 ;top_5 ;outstanding
47,378 ;39.7748333333 ;top_5 ;outstanding
28,835 ;33,417.2608333333 ;top_5 ;outstanding
42,055 ;79.43795 ;top_5 ;outstanding
31,238 ;105,154.3307333333 ;top_5 ;outstanding
50,922 ;476.8011 ;top_5 ;outstanding
32,060 ;17.9651166667 ;top_5 ;outstanding
29,029 ;12.071 ;top_5 ;outstanding
29,439 ;185.2666666667 ;top_5 ;outstanding
45,522 ;14,101.0376666667 ;top_5 ;outstanding
34,942 ;11,556.99655 ;top_5 ;outstanding
31,521 ;24,240.9027833333 ;top_5 ;outstanding
29,152 ;0.2381666667 ;top_5 ;outstanding
35,531 ;34,599.7501666667 ;top_5 ;outstanding
40,702 ;847.1866666667 ;top_5 ;outstanding
36,687 ;12.3725 ;top_5 ;outstanding
45,351 ;16.9095 ;top_5 ;outstanding
34,676 ;185,954.5736166667 ;top_5 ;outstanding
37,778 ;80,710.5312166667 ;top_5 ;outstanding
30,146 ;840,799.61595 ;top_5 ;outstanding
29,582 ;22.9358333333 ;top_5 ;outstanding
28,935 ;4,122.4026666667 ;top_5 ;outstanding
51,630 ;23.2037833333 ;top_5 ;outstanding
45,534 ;0.3893333333 ;top_5 ;outstanding
30,582 ;1,268.8991166667 ;top_5 ;outstanding
43,222 ;3.7627666667 ;top_5 ;outstanding
35,482 ;17.5212833333 ;top_5 ;outstanding
33,617 ;7.0827166667 ;top_5 ;outstanding
37,284 ;61,772.19505 ;top_5 ;outstanding
41,839 ;13.33695 ;top_5 ;outstanding
43,811 ;10,191.2002833333 ;top_5 ;outstanding
32,606 ;29,111.8321666667 ;top_5 ;outstanding
33,565 ;1.98395 ;top_5 ;outstanding
36,489 ;808,684.0405 ;top_5 ;outstanding
34,252 ;10.6666666667 ;top_5 ;outstanding
31,007 ;7.8601666667 ;top_5 ;outstanding
28,931 ;6.69905 ;top_5 ;outstanding
29,936 ;1,470.0436166667 ;top_5 ;outstanding
37,942 ;5.4408333333 ;top_5 ;outstanding
34,368 ;6.7982833333 ;top_5 ;outstanding
43,532 ;2.775 ;top_5 ;outstanding
55,608 ;74.32045 ;top_5 ;outstanding
43,239 ;35.7213833333 ;top_5 ;outstanding
35,512 ;67.20995 ;top_5 ;outstanding
33,470 ;70,362.0223333333 ;top_5 ;outstanding
31,801 ;13.7103333333 ;top_5 ;outstanding
35,022 ;216,243.99495 ;top_5 ;outstanding
36,106 ;9.0041666667 ;top_5 ;outstanding
36,298 ;371.3751 ;top_5 ;outstanding
36,740 ;19,355.6488833333 ;top_5 ;outstanding
34,649 ;5,874.6487833333 ;top_5 ;outstanding
30,833 ;13.8446666667 ;top_5 ;outstanding
32,368 ;108.1125 ;top_5 ;outstanding
31,004 ;8,022.0326166667 ;top_5 ;outstanding
33,299 ;2.0166666667 ;top_5 ;outstanding
30,629 ;15,615.9707166667 ;top_5 ;outstanding
37,206 ;176.3076666667 ;top_5 ;outstanding
29,026 ;21,247.6871 ;top_5 ;outstanding
42,378 ;50,276.4396666667 ;top_5 ;outstanding
48,677 ;5,771.9110666667 ;top_5 ;outstanding
37,462 ;0.2217333333 ;top_5 ;outstanding
28,841 ;4,456.3071666667 ;top_5 ;outstanding
36,936 ;152,662.1716 ;top_5 ;outstanding
52,237 ;0 ;top_5 ;outstanding
35,726 ;90.36545 ;top_5 ;outstanding
34,243 ;37,463.04095 ;top_5 ;outstanding
38,069 ;29.3210666667 ;top_5 ;outstanding
35,280 ;27.6975666667 ;top_5 ;outstanding
32,469 ;553,722.6042833333 ;top_5 ;outstanding
50,576 ;0.4073333333 ;top_5 ;outstanding
38,533 ;3,981.2577166667 ;top_5 ;outstanding
34,908 ;55.8648833333 ;top_5 ;outstanding
30,352 ;23.2458333333 ;top_5 ;outstanding
36,996 ;10.01745 ;top_5 ;outstanding
35,483 ;13,438.0217666667 ;top_5 ;outstanding
29,725 ;15,767.321 ;top_5 ;outstanding
46,937 ;76.29005 ;top_5 ;outstanding
33,896 ;13.9445 ;top_5 ;outstanding
30,628 ;0 ;top_5 ;outstanding
28,823 ;28.9224333333 ;top_5 ;outstanding
29,631 ;1,233.57395 ;top_5 ;outstanding
44,930 ;36,718.5997833333 ;top_5 ;outstanding
38,244 ;839.3772333333 ;top_5 ;outstanding
35,854 ;490,121.9333333333 ;top_5 ;outstanding
37,140 ;194.4231166667 ;top_5 ;outstanding
28,811 ;7,265.61295 ;top_5 ;outstanding
29,638 ;169.4943333333 ;top_5 ;outstanding
31,911 ;14.0627333333 ;top_5 ;outstanding
38,438 ;0 ;top_5 ;outstanding
29,196 ;20.6928833333 ;top_5 ;outstanding
40,919 ;31.3735 ;top_5 ;outstanding
29,411 ;0.23605 ;top_5 ;outstanding
32,759 ;3.491 ;top_5 ;outstanding
42,621 ;0 ;top_5 ;outstanding
34,530 ;1,400.9323333333 ;top_5 ;outstanding
29,334 ;8.5037833333 ;top_5 ;outstanding
37,478 ;1,676.1830666667 ;top_5 ;outstanding
36,325 ;0.4269333333 ;top_5 ;outstanding
34,603 ;7.9866666667 ;top_5 ;outstanding
35,104 ;6.06645 ;top_5 ;outstanding
34,474 ;0 ;top_5 ;outstanding
37,856 ;2,569.6972833333 ;top_5 ;outstanding
48,307 ;23.36 ;top_5 ;outstanding
30,063 ;306,154.8611 ;top_5 ;outstanding
28,892 ;37.20905 ;top_5 ;outstanding
